0,Alice,17_22_24_2021_02_06,50,200,0
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.14125,-0.07975,-1.085,0.08225001,-0.04575,1.0405
0.13825,-0.07775,-1.085,0.081,-0.04575,1.042
0.14225,-0.07700001,-1.087,0.08025,-0.04575,1.038
0.14,-0.078,-1.089,0.0815,-0.04825,1.038
0.14,-0.07875001,-1.085,0.08175001,-0.04625,1.036
0.14125,-0.07675,-1.0865,0.0815,-0.047,1.03975
0.14075,-0.07675,-1.0855,0.08050001,-0.04675,1.03975
0.1395,-0.079,-1.084,0.08050001,-0.04675,1.03975
0.14075,-0.0775,-1.0875,0.08400001,-0.0455,1.041
0.14175,-0.0785,-1.08475,0.082,-0.046,1.0375
0.14075,-0.079,-1.08725,0.07975,-0.0445,1.039
0.13575,-0.078,-1.08325,0.0815,-0.0455,1.0375
0.1385,-0.075,-1.086,0.08000001,-0.04625,1.03825
0.14175,-0.078,-1.087,0.0825,-0.047,1.043
0.142,-0.07525001,-1.08675,0.081,-0.04625,1.03925
0.1385,-0.07925,-1.084,0.082,-0.047,1.04125
0.1405,-0.07700001,-1.08675,0.08075,-0.0455,1.04025
0.14125,-0.0785,-1.08575,0.08225001,-0.04775,1.0395
0.142,-0.0775,-1.085,0.08275001,-0.04725,1.03775
0.13975,-0.0795,-1.08675,0.08175001,-0.04475,1.04
0.13925,-0.0795,-1.08225,0.08125,-0.0455,1.039
0.14025,-0.07625,-1.087,0.08225001,-0.04575,1.037
0.14025,-0.078,-1.08775,0.08225001,-0.04575,1.0385
0.141,-0.0775,-1.08625,0.08325,-0.04525,1.03625
0.142,-0.07925,-1.08725,0.08375,-0.04575,1.04275
0.13975,-0.07725,-1.087,0.08225001,-0.04625,1.034
0.1395,-0.0775,-1.08625,0.0815,-0.04675,1.0405
0.1395,-0.07700001,-1.085,0.08125,-0.046,1.03875
0.14075,-0.078,-1.0865,0.082,-0.04525,1.04025
0.14075,-0.07825001,-1.08825,0.08025,-0.04475,1.038
0.141,-0.079,-1.085,0.081,-0.04475,1.03825
0.13925,-0.07675,-1.08575,0.08025,-0.04625,1.0385
0.13875,-0.07875001,-1.08375,0.0815,-0.04525,1.03975
0.1415,-0.07925,-1.08825,0.0815,-0.04525,1.03975
0.1395,-0.07700001,-1.08725,0.08175001,-0.04825,1.03875
0.1385,-0.08075,-1.08475,0.08125,-0.04475,1.03775
0.14025,-0.07825001,-1.0875,0.08000001,-0.044,1.03775
0.1405,-0.07675,-1.087,0.08000001,-0.04525,1.03975
0.14075,-0.07650001,-1.0865,0.08175001,-0.04525,1.03625
0.13925,-0.07675,-1.0895,0.083,-0.0455,1.04125
0.141,-0.07600001,-1.0855,0.081,-0.046,1.037
0.13975,-0.08025,-1.085,0.08175001,-0.04525,1.03975
0.13975,-0.08225001,-1.08475,0.08025,-0.044,1.03925
0.14175,-0.07675,-1.0865,0.08050001,-0.04525,1.03625
