0,Alice,15:11:34_2021_02_06,50,200
1.219,-1.2455,-0.5675001,0.17225,0.054,-0.997
0.7835,-1.209,-0.682,0.17,0.055,-0.99525
-0.06675,-1.08675,-0.9267501,0.1635,0.05525,-0.993
-0.40125,-0.97325,-0.99625,0.15975,0.06175,-0.9935001
-0.6165,-0.91825,-1,0.15825,0.0705,-0.9902501
-0.93375,-0.841,-0.7605,0.1605,0.05525,-0.9950001
-1.12325,-0.6415001,-0.50975,0.16525,0.047,-1.0045
-1.246,-0.40575,-0.08325,0.167,0.05375,-0.993
-1.3445,0.197,0.691,0.16775,0.0555,-0.9910001
-1.3775,0.2625,0.84075,0.1625,0.0555,-0.9895
-1.331,0.1225,0.9630001,0.161,0.052,-0.99375
-1.11025,0.145,1.05225,0.16625,0.05375,-0.9995
-1.0505,0.1415,0.997,0.17075,0.05375,-0.9967501
-0.9842501,0.1265,0.9422501,0.172,0.05225,-0.9917501
-0.7845001,0.048,0.9425001,0.1645,0.05125,-0.9895
-0.73675,0.03475,0.90475,0.16575,0.049,-0.99375
-0.677,0.05575,0.8280001,0.16325,0.0495,-1.00075
-0.5872501,0.0145,0.6842501,0.164,0.0535,-0.9935001
-0.625,0.007,0.54025,0.16425,0.05625,-0.9850001
-0.733,0.00025,0.374,0.16775,0.0595,-0.9945
-0.82375,-0.10125,0.03675,0.166,0.0585,-0.9907501
-0.7605,-0.20075,-0.01025,0.1625,0.063,-0.9957501
-0.8105,-0.31925,-0.00075,0.1625,0.063,-0.9957501
-1.32325,-0.39925,-0.2295,0.1585,0.04925,-0.98875
-1.583,-0.56775,-0.52525,0.1615,0.0535,-0.9982501
-1.45825,-1.1755,-0.76025,0.1685,0.052,-0.984
2.18075,-4.22425,-0.3385,0.16725,0.04425,-1.00225
4.75625,-4.784,0.3345,0.16025,0.044,-0.9827501
5.47275,-3.27425,0.184,0.15925,0.0635,-0.9775
6.4085,-2.5365,0.129,0.164,0.074,-1.00925
5.55725,-2.0155,-1.0375,0.15325,0.064,-1.01575
4.396,-1.38475,-1.70925,0.157,0.0535,-1.0015
3.67,-1.22325,-1.02925,0.2065,0.04775,-0.9960001
3.56425,-1.06425,-0.433,0.20275,0.03975,-1.006
3.3145,-1.22,0.09975,0.184,0.06175,-0.978
2.567,-1.11225,0.9155,0.16575,0.05075,-0.99975
2.13625,-0.91725,0.61675,0.158,0.05125,-1.00275
1.74175,-0.85175,-0.046,0.16325,0.05,-1.00125
1.67325,-0.9835001,-0.2675,0.1705,0.04975,-1.00375
1.376,-1.06925,-0.63525,0.16475,0.0595,-0.9950001
0.955,-1.14125,-1.02,0.155,0.055,-0.994
0.49175,-1.1425,-1.34475,0.155,0.055,-0.994
-0.3165,-1.0835,-1.5535,0.16175,0.054,-0.9910001
-0.63625,-0.626,-0.86225,0.16625,0.053,-0.9967501
-0.6175,-0.39525,-0.5345,0.16375,0.054,-0.9885001
-0.649,-0.2165,-0.29075,0.164,0.0575,-0.9900001
-0.6575,-0.19775,-0.126,0.163,0.0565,-0.9945
-0.7492501,-0.29,0.06375001,0.16675,0.05475,-0.99875
-0.881,-0.2075,0.20675,0.17,0.06175,-0.98875
-0.9990001,0.055,0.54075,0.169,0.0525,-0.9917501
-1.0265,0.07650001,0.647,0.162,0.05075,-0.9907501
-1.0055,0.0395,0.6605,0.1625,0.05225,-0.9950001
-0.9765,0.03225,0.66875,0.16525,0.05225,-0.9985
-1.0055,0.056,0.7215,0.16275,0.0535,-0.9950001
-0.9545,0.1495,0.9305,0.17175,0.04275,-0.99725
-0.8935,0.062,0.9677501,0.15975,0.06125,-0.9902501
-0.7912501,0.068,0.8865001,0.16475,0.0635,-0.9917501
-0.8222501,0.13325,0.8290001,0.16575,0.05675,-1.00175
-0.85075,0.203,0.8035001,0.17,0.05025,-0.9955
-0.9012501,0.28425,0.762,0.171,0.0475,-0.9932501
-0.8815001,0.21225,0.46725,0.16525,0.0625,-0.9842501
-0.81625,0.06325001,0.3195,0.15925,0.05325,-1.0045
-0.7205001,-0.166,0.264,0.17075,0.04825,-0.997
-0.9005001,-0.28975,0.1175,0.17125,0.046,-0.99975
-1.1755,-0.392,-0.1115,0.169,0.05425,-0.98975
-1.2485,-0.69375,-0.69875,0.1515,0.066,-0.9907501
-0.30825,-2.08125,-0.5875,0.15375,0.05975,-0.992
1.07325,-2.93075,-0.55925,0.163,0.04225,-0.9917501
2.1255,-3.16525,-1.31875,0.176,0.053,-0.9957501
3.20925,-3.4895,-1.385,0.16875,0.06625,-0.9967501
3.97675,-5.10325,-0.43225,0.16225,0.06775001,-1.0025
4.89325,-4.535,0.7545,0.1525,0.06425,-0.9960001
3.20825,-1.828,-0.06075,0.16175,0.039,-0.9957501
2.51475,-1.42975,-0.455,0.17125,0.04975,-0.9957501
2.57175,-1.6735,-1.3675,0.19375,0.06025,-0.99375
2.70725,-1.878,-1.1915,0.18075,0.04425,-1.00575
2.615,-1.79825,-0.7647501,0.1795,0.049,-0.988
2.30575,-1.65525,-0.411,0.177,0.05925,-0.9945
2.053,-1.576,-0.461,0.16275,0.061,-0.99375
1.8915,-1.46725,-0.4415,0.15425,0.05475,-0.9942501
1.63375,-1.20375,-0.383,0.15675,0.0535,-1.00075
1.522,-1.09975,-0.371,0.157,0.06,-0.9985
1.49125,-1.09125,-0.42825,0.15675,0.058,-0.99525
1.297,-1.023,-0.735,0.16,0.0505,-0.99625
0.9325001,-0.9575,-0.79975,0.15425,0.055,-0.9950001
0.55325,-0.9127501,-0.7065001,0.1695,0.05025,-0.9907501
0.113,-0.7450001,-0.4535,0.17325,0.05625,-0.98725
-0.0415,-0.61825,-0.49125,0.17325,0.06125,-0.99625
-0.244,-0.66675,-0.5115,0.16675,0.057,-0.99225
-0.4225,-0.74225,-0.5247501,0.16575,0.054,-1
-0.93125,-0.36025,-0.582,0.1675,0.05175,-0.988
-1.1615,-0.2775,-0.5095,0.17125,0.05775,-0.9895
-1.088,-0.15075,-0.1475,0.17225,0.05875,-0.99775
-1.17425,-0.081,0.0045,0.1735,0.05525,-0.997
-1.20375,-0.00525,0.20975,0.1735,0.05525,-0.997
-1.23125,0.155,0.8665,0.1665,0.053,-0.99625
-1.111,0.25325,1.00625,0.16575,0.054,-0.99475
-1.31325,0.3455,1.27775,0.16175,0.0545,-0.9965001
-1.2425,0.307,1.41575,0.1595,0.05675,-0.99875
-1.11875,0.24325,1.4715,0.157,0.05275,-1
-0.8980001,0.253,1.52725,0.16175,0.0515,-0.9932501
-0.61475,0.149,1.13125,0.16,0.062,-0.99625
-0.6345,0.08775,0.89125,0.15625,0.06075,-0.98875
-0.6817501,0.02075,0.612,0.163,0.054,-1.00175
-0.7815,-0.09,0.3635,0.17075,0.0455,-1.00375
-0.8665,-0.168,-0.144,0.17525,0.054,-0.99625
-0.9030001,-0.2,-0.291,0.166,0.0575,-0.9820001
-1.15225,-0.46925,-0.476,0.16425,0.0405,-1
-1.21975,-0.8800001,-0.50075,0.16975,0.04175,-0.9995
-0.86775,-1.47825,-0.49625,0.17125,0.057,-0.99225
-0.212,-2.10225,-0.6595,0.16325,0.05975,-0.9745001
1.061,-2.70075,-1.6465,0.165,0.0545,-1.00025
2.08675,-3.59275,-1.5675,0.16175,0.06075,-1.00825
4.612,-4.89575,-0.8940001,0.15225,0.06725001,-0.9957501
4.2975,-3.8125,-0.623,0.1445,0.07075001,-0.9802501
3.09075,-2.761,-0.9725,0.1525,0.05975,-0.9852501
2.51375,-1.60125,-1.1685,0.18025,0.04175,-0.9982501
2.58,-1.75025,-0.8107501,0.1905,0.06375001,-0.989
2.8815,-2.449,-0.39775,0.16425,0.07175,-0.9760001
2.7485,-2.26875,0.03575,0.16825,0.04025,-1.007
2.66425,-2.13475,0.07725,0.1765,0.046,-1.0025
2.5575,-2.09925,0.00775,0.18,0.05375,-0.9900001
2.34225,-2.098,-0.12325,0.17225,0.05775,-0.9942501
2.0695,-2.09375,-0.50325,0.15975,0.054,-0.9992501
1.92525,-2.03725,-0.72725,0.158,0.048,-1.00775
1.45925,-1.7375,-0.8010001,0.163,0.05225,-0.9995
1.19575,-1.50475,-0.836,0.1655,0.05575,-0.992
0.90475,-1.40925,-0.8615,0.15425,0.05275,-0.98225
0.20625,-1.18,-0.8487501,0.15825,0.062,-0.9877501
-0.15275,-1.0665,-0.7787501,0.164,0.06,-1
-0.544,-0.9515001,-0.76425,0.17175,0.05675,-0.9957501
-1.0665,-0.6777501,-0.67,0.1765,0.0515,-0.992
-1.17,-0.44875,-0.59575,0.171,0.0595,-0.9905
-1.265,-0.2805,-0.58075,0.16125,0.06375001,-0.9875001
-1.2465,-0.09675001,-0.34325,0.1555,0.055,-0.9975001
-1.18,-0.03825,-0.14075,0.1605,0.05075,-0.9932501
-1.1445,-0.054,0.09900001,0.1655,0.05225,-0.997
-1.06325,-0.009000001,0.58375,0.16575,0.05875,-0.9835001
-1.09725,0.11175,0.72825,0.16475,0.0535,-0.9915
-1.0615,0.12875,0.75675,0.1665,0.049,-1
-0.95825,-0.0475,0.8940001,0.16625,0.0505,-0.99525
-0.5247501,0.05775,0.8585001,0.1665,0.057,-1.0025
-0.5247501,0.05775,0.8585001,0.1665,0.057,-1.0025
