0,Alice,14:33:59_2021_02_06,50,200
0.0575,0.1005,-1.09225,0.13425,-0.02575,-1.0025
0.0575,0.101,-1.092,0.13425,-0.0245,-0.99875
0.05775,0.102,-1.09225,0.13425,-0.0245,-0.99875
0.05775,0.102,-1.09225,0.13425,-0.0245,-0.99875
0.05775,0.10175,-1.092,0.13425,-0.02475,-0.9992501
0.05775,0.10175,-1.0925,0.13375,-0.026,-1
0.05775,0.10175,-1.0925,0.13375,-0.026,-1
0.0565,0.10125,-1.09,0.135,-0.026,-0.99975
0.05825,0.1005,-1.09275,0.1335,-0.02525,-1.00075
0.0565,0.10175,-1.08775,0.13625,-0.026,-0.99725
0.0565,0.10175,-1.08775,0.13625,-0.026,-0.99725
0.05925,0.105,-1.0945,0.13625,-0.026,-0.99725
0.05725,0.102,-1.09075,0.1345,-0.028,-1.00025
0.05725,0.102,-1.09075,0.1345,-0.028,-1.00025
0.0575,0.1,-1.093,0.1335,-0.02575,-1.0005
0.0575,0.1,-1.093,0.1335,-0.02575,-1.0005
0.05675,0.1005,-1.0925,0.1335,-0.02425,-0.9957501
0.05675,0.1005,-1.0925,0.13525,-0.02725,-1.00475
0.05875,0.10325,-1.09425,0.13525,-0.02725,-1.00475
0.05825,0.104,-1.09325,0.13525,-0.02725,-1.00475
0.05825,0.104,-1.09325,0.13525,-0.02725,-1.00475
0.0575,0.10075,-1.091,0.13275,-0.02425,-0.9945
0.0575,0.10075,-1.091,0.13275,-0.02425,-0.9945
0.058,0.10075,-1.0925,0.13375,-0.0265,-1.0025
0.058,0.10075,-1.0925,0.13375,-0.0265,-1.0025
0.05875,0.1,-1.0925,0.13275,-0.02625,-1.00125
0.05875,0.1,-1.0925,0.13225,-0.02375,-0.994
0.05675,0.101,-1.09,0.13225,-0.02375,-0.994
0.05675,0.101,-1.09,0.13375,-0.0245,-0.9957501
0.0565,0.101,-1.09075,0.13375,-0.0245,-0.9957501
0.05875,0.101,-1.095,0.1345,-0.0255,-1.00275
0.05875,0.101,-1.095,0.1345,-0.0255,-1.00275
0.0585,0.102,-1.09375,0.1345,-0.0255,-1.00275
0.0585,0.102,-1.09375,0.13475,-0.02775,-1.002
0.05725,0.1045,-1.0955,0.1365,-0.0275,-1.006
0.0575,0.101,-1.0905,0.13425,-0.0265,-1.00125
0.0575,0.101,-1.0905,0.13425,-0.0265,-1.00125
0.05525,0.10225,-1.091,0.13475,-0.025,-0.99725
0.05525,0.10225,-1.091,0.13475,-0.025,-0.99725
0.05725,0.10225,-1.0905,0.13475,-0.025,-0.99725
0.05725,0.10225,-1.0905,0.13475,-0.025,-0.99725
0.05625,0.101,-1.08875,0.1345,-0.02625,-0.99625
0.0585,0.1065,-1.09725,0.136,-0.0275,-1.00625
0.0585,0.1065,-1.09725,0.13475,-0.02825,-1.00425
0.0595,0.103,-1.09225,0.13475,-0.02825,-1.00425
0.0615,0.101,-1.09175,0.1335,-0.02775,-1.006
0.05875,0.10275,-1.0955,0.1335,-0.02775,-1.006
0.053,0.10225,-1.092,0.1335,-0.02775,-1.006
0.053,0.10225,-1.092,0.13225,-0.02075,-0.9985
0.055,0.09825,-1.0875,0.13225,-0.02075,-0.9985
0.05975,0.09875,-1.09075,0.12825,-0.0255,-1.00225
0.0575,0.09950001,-1.0975,0.12825,-0.0255,-1.00225
0.0575,0.09950001,-1.0975,0.12825,-0.0255,-1.00225
0.057,0.1075,-1.09725,0.12825,-0.0255,-1.00225
0.0545,0.10325,-1.08775,0.13125,-0.0195,-1.01075
0.056,0.0975,-1.08175,0.13475,-0.01475,-0.97575
0.063,0.10675,-1.0995,0.13175,-0.02025,-0.9982501
0.063,0.10675,-1.0995,0.13175,-0.02025,-0.9982501
0.06175,0.1055,-1.0985,0.13275,-0.03125,-1.01425
0.06175,0.1055,-1.0985,0.13275,-0.03125,-1.01425
0.05675,0.096,-1.08125,0.13225,-0.027,-0.9985
0.05675,0.096,-1.08125,0.13025,-0.012,-0.98825
0.058,0.09950001,-1.0955,0.12675,-0.018,-0.99525
0.058,0.1,-1.077,0.12675,-0.018,-0.99525
0.058,0.1,-1.077,0.1355,-0.01925,-1.01025
0.05575,0.1085,-1.13,0.1355,-0.01925,-1.01025
0.06475,0.0925,-1.08225,0.12575,-0.02475,-1.0115
0.06475,0.0925,-1.08225,0.1305,-0.025,-0.9695001
0.05375,0.09525,-1.055,0.1305,-0.025,-0.9695001
0.05375,0.09525,-1.055,0.13175,-0.01075,-1.0085
0.057,0.1125,-1.1335,0.13175,-0.01075,-1.0085
0.057,0.1125,-1.1335,0.13075,-0.01975,-1.009
0.057,0.094,-1.08725,0.13075,-0.01975,-1.009
0.05675,0.09450001,-1.0755,0.13075,-0.01975,-1.009
0.05675,0.09450001,-1.0755,0.13075,-0.01975,-1.009
0.05975,0.10975,-1.10325,0.13075,-0.01675,-1.00025
0.05975,0.10975,-1.10325,0.13075,-0.01675,-1.00025
0.05675,0.101,-1.08975,0.13175,-0.01775,-0.99775
0.05675,0.101,-1.08975,0.13175,-0.01775,-0.99775
0.0565,0.098,-1.0965,0.133,-0.018,-1.002
0.057,0.102,-1.086,0.133,-0.018,-1.002
0.057,0.102,-1.086,0.131,-0.017,-0.9942501
0.05875,0.1045,-1.09375,0.131,-0.017,-0.9942501
0.05475,0.1025,-1.095,0.1345,-0.01925,-1
0.0595,0.10075,-1.092,0.13125,-0.02075,-1.00575
0.05825,0.10025,-1.0845,0.12975,-0.02075,-0.99225
0.05825,0.10025,-1.0845,0.12975,-0.02075,-0.99225
0.0585,0.10275,-1.09275,0.13225,-0.017,-0.9990001
0.0585,0.10275,-1.09275,0.13225,-0.017,-0.9990001
0.05675,0.1025,-1.09675,0.133,-0.0195,-1.006
0.0595,0.10175,-1.09425,0.1305,-0.022,-1.00275
0.0565,0.0975,-1.0845,0.1265,-0.01975,-0.9877501
0.0565,0.0975,-1.0845,0.1265,-0.01975,-0.9877501
0.05975,0.10375,-1.09275,0.13,-0.0195,-0.99875
0.05975,0.10375,-1.09275,0.13,-0.0195,-0.99875
0.0555,0.10775,-1.1,0.1375,-0.0215,-1.011
0.0555,0.10775,-1.1,0.1375,-0.0215,-1.011
0.058,0.104,-1.097,0.1355,-0.02175,-1.00775
0.06075,0.101,-1.0905,0.132,-0.02125,-0.9992501
0.06075,0.101,-1.0905,0.1315,-0.026,-1.0055
0.0645,0.1015,-1.09425,0.1315,-0.026,-1.0055
0.06475,0.10175,-1.09625,0.13175,-0.0285,-1.0095
0.055,0.102,-1.09675,0.1355,-0.02075,-1.0195
0.055,0.102,-1.09675,0.1355,-0.02075,-1.0195
0.04375,0.10325,-1.0895,0.1385,-0.009500001,-0.9965001
0.04175,0.10275,-1.08375,0.13375,0.00025,-0.9845001
0.0545,0.1,-1.0865,0.132,-0.028,-0.98225
0.05325,0.1025,-1.104,0.132,-0.028,-0.98225
0.05325,0.1025,-1.104,0.132,-0.028,-0.98225
0.05,0.08050001,-1.09825,0.1195,0.0025,-0.99475
0.05,0.08050001,-1.09825,0.1195,0.0025,-0.99475
0.0505,0.08775,-1.07675,0.124,-0.01025,-0.99725
0.0505,0.08775,-1.07675,0.12725,-0.02325,-0.9955
0.06025,0.105,-1.098,0.12725,-0.02325,-0.9955
0.06025,0.105,-1.098,0.129,-0.023,-1.02225
0.0665,0.1035,-1.116,0.129,-0.023,-1.02225
0.0665,0.1035,-1.116,0.1215,-0.027,-1.00825
0.05725,0.0885,-1.08475,0.1215,-0.027,-1.00825
0.054,0.08475,-1.076,0.11525,-0.01275,-0.96975
0.054,0.08475,-1.076,0.11525,-0.01275,-0.96975
0.05975,0.0935,-1.09625,0.1195,-0.005,-0.98875
0.05975,0.0935,-1.09625,0.1285,-0.01925,-1.02225
0.0575,0.10275,-1.10825,0.1285,-0.01925,-1.02225
0.0575,0.10275,-1.10825,0.136,-0.02725,-1.015
0.05375,0.10675,-1.09975,0.136,-0.02725,-1.015
0.051,0.102,-1.08825,0.129,-0.012,-0.9982501
0.051,0.102,-1.08825,0.129,-0.012,-0.9982501
0.04075,0.09775001,-1.079,0.12875,-0.00075,-0.9675
