2,Tony,01_11_09_2021_02_07,50,300,12
0.9210001,0.23425,-1.253,-0.10975,-0.35075,-1.06925
0.53425,0.03575,-0.72725,0.118,-0.2945,-0.91875
0.55225,0.0385,-0.6735001,0.25275,-0.34425,-1.212
0.549,0.01475,-0.58575,0.3755,-0.5515,-1.49775
0.2965,-0.05675,-0.3665,0.57775,-0.8050001,-2.58075
0.26125,-0.0325,-0.2375,0.45625,-0.6825,-2.507
0.29975,-0.081,-0.14875,0.45625,-0.6825,-2.507
0.41475,-0.24075,-0.132,0.06825,-0.46725,-1.157
0.42025,-0.2325,-0.123,0.06500001,-0.27625,-1.03775
0.36925,-0.16525,-0.02525,0.2065,0.1145,-0.8845
0.12475,0.03225,-0.02525,0.1745,0.15525,-0.77025
0.21925,-0.0395,0.10325,0.178,0.17075,-0.7015001
0.25325,-0.079,0.10725,0.17625,0.1965,-0.68575
0.60075,-0.239,0.2505,0.08750001,-0.0505,-0.23325
0.96925,-0.33,0.22175,0.009500001,-0.167,0.0605
1.2705,-0.34125,0.40175,-0.049,-0.205,0.318
1.55475,-0.10075,0.19075,-0.25375,0.0775,1.088
1.899,-0.2035,-0.06900001,-0.21625,0.18075,1.63175
2.05375,-0.32375,-0.22475,-0.10175,0.1355,1.35975
1.493,-0.38225,-0.0165,0.5085,-0.34525,-0.3735
1.10025,-0.34475,0.1705,1.161,-0.507,-1.11675
0.8750001,-0.25025,0.30125,1.576,-0.52375,-1.78325
0.51225,-0.009500001,0.528,1.60175,-0.784,-2.20475
0.4875,0.04425,0.5315,1.35625,-0.728,-1.796
0.45875,-0.01475,0.396,0.82125,-0.14075,-0.4615
0.53675,-0.048,0.2995,0.7405,0.064,-0.08925001
0.52175,-0.08525001,0.2905,0.7835,0.1155,-0.0225
0.48575,-0.07275,0.3185,0.826,0.04575,-0.05675
0.44525,-0.08125,0.39875,0.8265001,-0.108,-0.049
0.4035,-0.0585,0.387,0.7635,-0.07975,-0.08975001
0.3535,-0.02575,0.327,0.70225,0.046,-0.1125
0.287,0.01675,0.221,0.7097501,0.1335,-0.13225
0.24825,0.029,0.12875,0.6505001,0.14325,-0.07525001
0.3205,-0.10875,-0.0885,0.5005,-0.02,0.1365
0.309,-0.07925,-0.02975,0.43375,-0.07475001,0.211
0.16675,-0.09425,0.09900001,0.396,-0.08375,0.273
0.0415,-0.10975,0.135,0.346,-0.04425,0.2855
-0.10275,-0.0455,0.09675001,0.2375,-0.05575,0.31075
-0.134,-0.0195,-0.017,0.221,-0.06975,0.29225
-0.09950001,-0.02925,-0.251,0.244,0.00125,0.093
-0.101,-0.14025,-0.411,0.18725,0.02375,0.09950001
-0.26,-0.15325,-0.33175,0.08575001,0.0465,0.14175
-0.3615,-0.21625,-0.90075,0.005,0.06900001,0.2465
-0.37475,-0.32425,-1.291,-0.06900001,0.13375,0.29475
-0.3335,-0.49475,-1.6505,-0.101,0.2245,0.2025
-0.07975,-0.772,-2.14825,-0.139,0.2435,-0.16775
0.42725,-1.60425,-2.95025,-0.11275,0.25575,-0.28475
0.68475,-2.00225,-3.185,-0.29575,0.19825,-0.6727501
0.80625,-2.13825,-3.39725,-0.5275,0.0825,-0.5245
1.25125,-1.72325,-3.36125,-0.99225,-0.159,-0.8972501
1.86,-1.53625,-3.38525,-1.10425,-0.17025,-1.5215
2.578,-1.33,-3.14375,-1.038,-0.08325,-2.221
1.51575,-0.7915,-1.8165,-1.0515,0.322,-3.36625
0.84325,-0.4135,-1.56125,-1.05,0.65575,-4.07725
0.54725,-0.14325,-1.4565,-0.17425,0.9762501,-4.57025
0.53675,-0.11025,-1.28525,0.364,1.01975,-3.95
0.496,-0.2995,-1.1825,0.6950001,0.74775,-3.33025
0.4055,-0.44525,-1.03025,0.3705,-0.1205,-2.48625
0.1965,-0.43075,-0.60725,0.0585,-0.4365,-2.13
0.1965,-0.43075,-0.60725,-0.12,-0.52825,-1.77075
0.1435,-0.30175,-0.5315,-0.14475,-0.222,-1.7145
0.039,-0.035,-0.5705,-0.197,-0.05525,-1.46325
0.50325,-0.02075,-1.20825,-0.1725,0.00475,-1.094
0.74075,0.00225,-1.3525,-0.139,0.09100001,-0.86125
0.90975,0.14925,-1.10025,0.0115,0.2345,-0.767
0.7870001,0.22875,-1.0095,0.157,0.39625,-0.86725
0.7870001,0.22875,-1.0095,0.249,0.56,-0.867
0.487,0.42275,-1.00525,0.3975,0.55475,-0.8010001
0.58375,0.495,-1.15425,0.4245,0.421,-0.795
0.58375,0.495,-1.15425,0.40175,0.26675,-0.83575
0.44325,0.1345,-1.286,0.47325,0.15175,-1.2105
0.354,-0.066,-1.44025,0.6662501,0.08000001,-1.3855
0.266,-0.259,-1.59975,0.6727501,0.0795,-1.27325
0.41075,-0.553,-1.96175,0.36925,0.02475,-1.103
0.45875,-0.6957501,-2.1245,0.27275,-0.00225,-1.13675
0.6715,-0.859,-2.1225,0.21125,0.013,-1.2025
0.64,-0.74225,-2.144,0.198,0.05275,-1.2865
0.7205001,-0.75725,-2.2565,-0.00125,0.2055,-1.4045
0.95675,-0.887,-2.435,-0.00125,0.2055,-1.4045
0.711,-0.99375,-2.48875,-0.32675,0.218,-1.44175
0.481,-0.96275,-2.45025,-0.1075,0.17975,-1.815
0.24,-0.8922501,-2.3585,0.25375,0.1535,-2.179
0.00375,-0.7287501,-2.12625,0.71975,0.36525,-2.525
