0,Alice,18_18_02_2021_02_06,50,200,13
0.13525,-0.03775,-1.093,0.07025,-0.045,1.0405
0.13375,-0.03775,-1.09325,0.06975,-0.04525,1.0405
0.1355,-0.0375,-1.0915,0.07225,-0.04625,1.0415
0.137,-0.0375,-1.09325,0.07225,-0.04725,1.0415
0.135,-0.03775,-1.0935,0.07,-0.04475,1.04
0.13475,-0.03725,-1.09325,0.06875,-0.04475,1.0405
0.13525,-0.03675,-1.093,0.06925,-0.045,1.0395
0.13575,-0.038,-1.09225,0.07125001,-0.04625,1.0405
0.1355,-0.03775,-1.09225,0.0715,-0.0465,1.04075
0.13425,-0.03775,-1.09275,0.06925,-0.04475,1.0395
0.133,-0.039,-1.0905,0.0705,-0.045,1.04025
0.13425,-0.03575,-1.092,0.06950001,-0.04475,1.0395
0.135,-0.03675,-1.09225,0.0715,-0.04875,1.04125
0.135,-0.03825,-1.0925,0.07175,-0.04675,1.041
0.1345,-0.03825,-1.0925,0.07175,-0.047,1.04125
0.13525,-0.03775,-1.09375,0.06825,-0.04575,1.0395
0.136,-0.03825,-1.0935,0.07,-0.04475,1.03975
0.1345,-0.03775,-1.09275,0.06975,-0.04575,1.04
0.134,-0.037,-1.093,0.06925,-0.0445,1.03975
0.13525,-0.03775,-1.093,0.07025,-0.04625,1.041
0.13225,-0.03775,-1.0925,0.07075001,-0.04575,1.04075
0.13325,-0.03775,-1.09175,0.06900001,-0.045,1.03975
0.13475,-0.0385,-1.0925,0.072,-0.0475,1.04125
0.13375,-0.03775,-1.0925,0.06950001,-0.04525,1.0405
0.13375,-0.03775,-1.0925,0.06950001,-0.04525,1.0405
0.134,-0.0375,-1.0925,0.0705,-0.04575,1.0425
0.135,-0.037,-1.09225,0.0705,-0.0475,1.04
0.135,-0.038,-1.0935,0.071,-0.04725,1.041
0.13475,-0.03725,-1.09275,0.071,-0.0455,1.041
0.13475,-0.03775,-1.094,0.06875,-0.04525,1.04
0.1355,-0.03825,-1.09375,0.0705,-0.045,1.04125
0.1355,-0.03825,-1.09375,0.06950001,-0.04575,1.03975
0.13575,-0.03875,-1.09275,0.071,-0.046,1.04075
0.1355,-0.039,-1.0935,0.06950001,-0.04375,1.03925
0.135,-0.03675,-1.093,0.06900001,-0.0455,1.04025
0.1365,-0.038,-1.09375,0.0715,-0.047,1.04125
0.13425,-0.03625,-1.092,0.06925,-0.04675,1.03975
0.1355,-0.03775,-1.09325,0.0705,-0.0465,1.041
0.134,-0.03775,-1.0935,0.06975,-0.045,1.0405
0.13275,-0.03775,-1.09325,0.06975,-0.04475,1.04075
0.1355,-0.0375,-1.093,0.071,-0.047,1.041
0.13375,-0.03725,-1.09225,0.071,-0.047,1.041
0.134,-0.0375,-1.093,0.0715,-0.04625,1.0415
0.134,-0.0385,-1.093,0.068,-0.04475,1.04
0.13575,-0.03825,-1.09325,0.07125001,-0.046,1.04175
0.1355,-0.03875,-1.09275,0.07125001,-0.04675,1.04175
0.13425,-0.03875,-1.09225,0.072,-0.046,1.041
0.1335,-0.0365,-1.0925,0.06925,-0.0455,1.04025
0.1335,-0.03725,-1.09325,0.0685,-0.0455,1.0395
0.13525,-0.0365,-1.0925,0.07025,-0.04575,1.04125
0.13575,-0.038,-1.09275,0.07025,-0.04825,1.0395
0.13425,-0.03675,-1.09175,0.06950001,-0.0455,1.03875
0.1345,-0.03925,-1.09225,0.06900001,-0.0445,1.03975
0.13475,-0.0375,-1.093,0.07075001,-0.04625,1.0405
0.13475,-0.03775,-1.0925,0.06900001,-0.045,1.0395
0.13575,-0.039,-1.0935,0.0715,-0.047,1.041
0.1335,-0.0395,-1.09175,0.072,-0.0455,1.041
0.134,-0.039,-1.09025,0.06900001,-0.0445,1.0395
0.1355,-0.03625,-1.09425,0.07075001,-0.04775,1.04225
0.13325,-0.03875,-1.09,0.06975,-0.0455,1.03875
0.135,-0.039,-1.09325,0.07025,-0.0455,1.03975
0.1335,-0.037,-1.0925,0.0685,-0.0465,1.0395
0.13275,-0.0345,-1.0925,0.06675,-0.047,1.0405
0.13275,-0.0365,-1.0925,0.068,-0.0475,1.04025
0.13675,-0.04175,-1.091,0.07275,-0.04525,1.041
0.13625,-0.04075,-1.0895,0.0735,-0.04475,1.0375
0.13825,-0.04025,-1.0905,0.07325,-0.04725,1.04
0.136,-0.04025,-1.09075,0.06925,-0.046,1.039
0.13425,-0.03975,-1.091,0.07,-0.0435,1.03925
0.1365,-0.03775,-1.09375,0.071,-0.047,1.04025
0.136,-0.0375,-1.09225,0.07175,-0.0465,1.0405
0.13275,-0.03875,-1.092,0.07275,-0.04725,1.04175
0.13425,-0.03775,-1.09425,0.0675,-0.04625,1.03975
0.1345,-0.0365,-1.09375,0.07,-0.04675,1.04175
0.133,-0.038,-1.09275,0.06875,-0.0445,1.04025
0.1315,-0.0415,-1.0915,0.068,-0.04475,1.04075
0.133,-0.0375,-1.09275,0.06900001,-0.045,1.04125
0.134,-0.03775,-1.093,0.06900001,-0.04525,1.0395
0.1345,-0.0365,-1.0935,0.06825,-0.04725,1.04
0.13425,-0.03675,-1.094,0.07025,-0.0445,1.041
0.13625,-0.0405,-1.09,0.0715,-0.04475,1.04
0.13675,-0.0385,-1.0915,0.07025,-0.049,1.0385
0.1425,-0.03925,-1.09275,0.07700001,-0.04825,1.0415
0.13875,-0.045,-1.08475,0.078,-0.045,1.03475
0.1275,-0.01775,-1.095,0.061,-0.05775,1.03675
0.1155,-0.04325,-1.08925,0.05525,-0.04275,1.03475
0.1065,-0.02825,-1.10325,0.04425,-0.038,1.0375
0.139,-0.05475,-1.098,0.1045,-0.0175,1.02425
0.1595,-0.0365,-1.08525,0.097,-0.0415,1.02775
0.14225,-0.0115,-1.096,0.07300001,-0.07600001,1.05125
0.1245,-0.034,-1.0965,0.06125,-0.053,1.041
0.13925,-0.054,-1.079,0.075,-0.03575,1.03725
0.145,-0.02725,-1.093,0.078,-0.05575,1.036
0.13675,-0.0405,-1.0835,0.07425001,-0.05025,1.03625
0.13425,-0.044,-1.0925,0.07300001,-0.03875,1.035
0.12825,-0.04375,-1.096,0.0685,-0.042,1.04775
0.1265,-0.03075,-1.09125,0.06125,-0.0475,1.038
0.13125,-0.031,-1.09675,0.066,-0.053,1.048
0.131,-0.045,-1.088,0.07175,-0.0425,1.0355
0.1305,-0.0445,-1.09175,0.0675,-0.04775,1.04325
0.13325,-0.0355,-1.09475,0.06725001,-0.04975,1.04025
0.13575,-0.03725,-1.092,0.06725001,-0.04675,1.0385
0.14,-0.03725,-1.094,0.07475001,-0.04875,1.04225
0.1355,-0.037,-1.09625,0.07225,-0.047,1.043
0.133,-0.041,-1.0895,0.0685,-0.04475,1.04175
0.13375,-0.04225,-1.0925,0.07125001,-0.045,1.042
0.138,-0.04,-1.09,0.07225,-0.047,1.0435
0.13975,-0.03725,-1.09025,0.07650001,-0.04675,1.03525
0.1365,-0.0435,-1.09425,0.07225,-0.04475,1.045
0.13475,-0.03425,-1.0925,0.06925,-0.0465,1.03875
0.13075,-0.0355,-1.0935,0.06675,-0.0505,1.04575
0.131,-0.04125,-1.09325,0.0675,-0.04275,1.03875
0.14175,-0.03325,-1.09175,0.07600001,-0.05125,1.0405
0.143,-0.02975,-1.09175,0.07475001,-0.056,1.0395
0.1335,-0.0385,-1.0945,0.06900001,-0.04825,1.0445
0.13125,-0.037,-1.0985,0.06575,-0.04725,1.045
0.132,-0.0355,-1.0905,0.0675,-0.049,1.04175
0.135,-0.04775,-1.0855,0.075,-0.0405,1.04025
0.1335,-0.03825,-1.094,0.07125001,-0.04275,1.03625
0.13,-0.03575,-1.09225,0.0665,-0.04875,1.0435
0.13675,-0.03625,-1.09325,0.06900001,-0.04875,1.04075
0.13975,-0.04475,-1.088,0.074,-0.04425,1.04175
0.13525,-0.03425,-1.093,0.074,-0.04675,1.0335
0.13325,-0.038,-1.08775,0.0675,-0.04825,1.0365
0.13325,-0.0405,-1.09475,0.06775001,-0.04225,1.03825
0.13225,-0.04,-1.09,0.06925,-0.04575,1.044
0.13425,-0.03475,-1.091,0.07175,-0.04825,1.03575
0.13025,-0.0455,-1.08925,0.06900001,-0.039,1.0405
0.1425,-0.0335,-1.08825,0.07600001,-0.0475,1.029
0.14,-0.03325,-1.09975,0.07675,-0.057,1.0565
0.132,-0.038,-1.09525,0.06875,-0.04,1.026
0.13575,-0.031,-1.09825,0.066,-0.05625,1.066
0.1315,-0.0365,-1.08175,0.0685,-0.04875,1.017
0.13225,-0.0405,-1.083,0.06725001,-0.04775,1.0455
0.13575,-0.03825,-1.095,0.07025,-0.043,1.02525
0.1345,-0.03425,-1.09225,0.07125001,-0.047,1.03875
0.13425,-0.03975,-1.09025,0.0735,-0.0405,1.032
0.136,-0.03925,-1.0935,0.071,-0.04675,1.0475
0.13475,-0.03825,-1.09275,0.072,-0.04775,1.036
0.1345,-0.0355,-1.09175,0.07025,-0.04925,1.042
0.131,-0.04125,-1.093,0.066,-0.0445,1.03975
0.12725,-0.05125,-1.091,0.07225,-0.04525,1.0315
0.147,-0.016,-1.09,0.07875001,-0.06900001,1.039
0.13525,-0.04175,-1.10325,0.07875001,-0.06900001,1.039
0.12225,-0.05225,-1.06875,0.06375001,-0.026,1.0005
0.138,-0.032,-1.1165,0.07025,-0.04775,1.05825
0.1375,-0.04175,-1.092,0.07475001,-0.04475,1.01075
0.134,-0.03925,-1.099,0.071,-0.04175,1.06075
0.13425,-0.03325,-1.097,0.07275,-0.04375,1.03025
0.136,-0.03325,-1.091,0.06950001,-0.05275,1.05475
0.13475,-0.045,-1.08875,0.0705,-0.03875,1.03275
0.13475,-0.037,-1.0935,0.06900001,-0.0515,1.05425
0.132,-0.0385,-1.08825,0.07,-0.044,1.029
0.1335,-0.03775,-1.098,0.06825,-0.04225,1.0415
0.135,-0.03625,-1.09125,0.06975,-0.04575,1.032
0.135,-0.0395,-1.09325,0.06900001,-0.046,1.04625
0.13225,-0.042,-1.08975,0.06950001,-0.0435,1.039
0.136,-0.03425,-1.097,0.074,-0.0555,1.05425
0.13225,-0.042,-1.08625,0.0685,-0.043,1.0345
0.132,-0.0395,-1.0945,0.06925,-0.052,1.05675
0.1325,-0.042,-1.08775,0.06825,-0.04175,1.02875
0.133,-0.04475,-1.09475,0.06975,-0.0365,1.04
0.14025,-0.035,-1.08725,0.08025,-0.05925,1.03375
0.13525,-0.04,-1.09625,0.07175,-0.05025,1.0565
0.126,-0.04575,-1.0825,0.06475,-0.03725,1.0225
0.133,-0.033,-1.10275,0.0675,-0.04675,1.04575
0.13725,-0.039,-1.088,0.07425001,-0.04775,1.023
0.135,-0.0415,-1.0935,0.07175,-0.04175,1.0475
0.131,-0.03575,-1.0955,0.06950001,-0.045,1.0345
0.12575,-0.0435,-1.095,0.06125,-0.04125,1.0535
0.1245,-0.05675,-1.08825,0.066,-0.02725,1.033
0.144,-0.041,-1.08775,0.07625,-0.0385,1.029
0.14075,-0.03775,-1.09675,0.07625,-0.05575,1.05575
0.121,-0.05375,-1.0755,0.064,-0.0245,1.00975
0.133,-0.0335,-1.116,0.063,-0.06225,1.0475
0.14175,-0.03375,-1.09275,0.07425001,-0.05175,1.019
0.136,-0.03825,-1.096,0.07175,-0.047,1.0565
0.1315,-0.04875,-1.08525,0.06925,-0.04075,1.03425
0.134,-0.03175,-1.09625,0.0685,-0.0535,1.0545
0.1335,-0.04375,-1.085,0.0735,-0.045,1.032
0.13525,-0.04225,-1.092,0.07075001,-0.0485,1.05175
0.1355,-0.03725,-1.089,0.07125001,-0.04675,1.0315
0.133,-0.03925,-1.09475,0.0685,-0.043,1.03975
0.13175,-0.0415,-1.09225,0.06950001,-0.0445,1.0445
0.13325,-0.03275,-1.093,0.06975,-0.05225,1.04375
0.13025,-0.0435,-1.094,0.06725001,-0.04475,1.0445
0.14275,-0.02725,-1.088,0.07375,-0.05475,1.03225
0.14075,-0.026,-1.101,0.07525001,-0.0635,1.05675
0.13275,-0.048,-1.0815,0.06975,-0.03875,1.03225
0.13275,-0.0425,-1.09325,0.07075001,-0.0375,1.025
0.13375,-0.0335,-1.08225,0.068,-0.05025,1.02375
0.13575,-0.03925,-1.09825,0.07125001,-0.044,1.04125
0.1325,-0.041,-1.088,0.06825,-0.0455,1.0505
0.1375,-0.034,-1.092,0.07075001,-0.0505,1.045
0.13625,-0.037,-1.09225,0.07300001,-0.0515,1.0435
0.135,-0.043,-1.089,0.06875,-0.04325,1.04075
0.13675,-0.036,-1.09425,0.071,-0.04975,1.044
0.13575,-0.038,-1.088,0.0705,-0.04525,1.03375
0.13425,-0.0395,-1.096,0.07125001,-0.0455,1.04375
0.13375,-0.03275,-1.094,0.06825,-0.04875,1.03775
0.1275,-0.04375,-1.09375,0.06625,-0.04375,1.04925
0.12825,-0.0525,-1.08975,0.0775,-0.05325,1.02675
