2,Normalll,19_59_36_2021_02_19,50,300,1
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.65475,0.24425,-0.77575,0.1175,-0.03925,-0.998
0.7895001,-0.1365,-0.7500001,0.1185,-0.0385,-0.9965001
0.78225,-0.11775,-0.7705001,0.11525,-0.03925,-1.00075
0.80075,-0.10875,-0.7565001,0.11325,-0.03425,-0.9957501
0.77825,-0.1145,-0.69525,0.12675,-0.03425,-0.9875001
0.74575,-0.09200001,-0.5925,0.11225,-0.046,-1.0025
0.81475,-0.045,-0.631,0.10575,-0.039,-0.9990001
0.77975,-0.05675,-0.69025,0.11225,-0.0325,-0.9965001
0.75275,0.02175,-0.74375,0.12475,-0.03775,-0.9985
0.77125,0.02475,-0.7365,0.118,-0.03975,-0.9975001
0.7455,-0.00275,-0.68625,0.1135,-0.03275,-0.9982501
0.7625,-0.01975,-0.666,0.1175,-0.03475,-0.99725
0.7845001,-0.0495,-0.65575,0.12175,-0.03725,-0.9960001
0.822,-0.1155,-0.65075,0.11525,-0.0355,-0.998
0.818,-0.144,-0.649,0.11475,-0.03125,-0.9967501
0.818,-0.145,-0.63375,0.11775,-0.035,-0.9967501
0.8175001,-0.138,-0.614,0.11975,-0.03975,-0.99625
0.8415,-0.08750001,-0.60975,0.11575,-0.037,-0.9885001
0.8462501,-0.06575,-0.63425,0.113,-0.03475,-0.99625
0.803,0.01625,-0.65075,0.12025,-0.0395,-1.00325
0.7837501,-0.01425,-0.6415001,0.11875,-0.0405,-0.997
0.81725,0.0065,-0.6752501,0.116,-0.038,-0.99725
0.8272501,0.007,-0.62275,-0.147,-0.382,-1.6665
0.827,-0.0195,-0.6295,0.102,0.303,-0.96825
0.82675,-0.0435,-0.64425,0.781,0.4775,-0.81675
0.81925,-0.06925,-0.637,0.43625,0.25725,-1.045
0.788,-0.08350001,-0.63625,0.43925,0.037,-0.9365001
0.81275,-0.08325,-0.6195,0.4295,0.32075,-0.91875
0.8477501,-0.046,-0.58125,0.12325,-0.01075,-1.006
0.84325,-0.05425,-0.55475,0.151,-0.07775,-1.29125
0.831,-0.06275,-0.567,0.27725,0.02275,-1.11925
