1,Alice,14_09_47_2021_02_19,50,150,1
0.04325,0.21775,-1.09175,0.02175,0.65375,0.8315001
0.08050001,0.19725,-1.05925,-0.0505,0.63125,0.84025
0.09100001,0.20625,-1.07725,-0.06275,0.63125,0.7787501
0.07525001,0.20675,-1.07975,-0.04475,0.6365,0.7955
0.08875,0.202,-1.07075,-0.02575,0.638,0.8207501
0.08000001,0.21225,-1.08675,-0.04275,0.6565,0.8050001
0.0825,0.2105,-1.077,-0.03975,0.64825,0.823
0.07425001,0.21825,-1.0885,-0.04025,0.66075,0.7925
0.08825,0.22275,-1.09475,-0.004,0.68625,0.75725
0.08325,0.20675,-1.07875,0.002,0.65775,0.80375
0.0495,0.19775,-1.07925,-0.04025,0.6415001,0.8200001
0.10675,0.1805,-1.04675,-0.06575,0.64425,0.848
0.10675,0.1805,-1.04675,-0.06575,0.64425,0.848
0.097,0.1855,-1.08075,-0.07175,0.63725,0.79
0.08675,0.19225,-1.093,-0.0685,0.64125,0.777
0.08400001,0.1825,-1.09825,-0.048,0.65,0.8375
0.085,0.176,-1.084,-0.02725,0.647,0.8455001
0.08125,0.1765,-1.08125,-0.02025,0.6435,0.8387501
0.07425001,0.18625,-1.0855,-0.03425,0.64875,0.81875
0.083,0.187,-1.08475,-0.0545,0.645,0.80575
0.08575001,0.182,-1.078,-0.0535,0.63875,0.8115
0.0905,0.17575,-1.0765,-0.05275,0.63725,0.8182501
0.0905,0.1765,-1.07525,-0.048,0.6445,0.8225001
0.08425,0.18025,-1.09325,-0.0355,0.645,0.825
0.083,0.1785,-1.0945,-0.0415,0.64275,0.8235
0.0825,0.17575,-1.08575,-0.052,0.643,0.82875
0.09325001,0.171,-1.086,-0.057,0.63975,0.8405001
0.08825,0.17625,-1.088,-0.0565,0.63425,0.8092501
0.08175001,0.178,-1.087,-0.04325,0.636,0.8035001
0.079,0.17975,-1.0855,-0.04475,0.6445,0.8155
0.082,0.18175,-1.08575,-0.0285,0.64875,0.831
0.082,0.18175,-1.08575,-0.0285,0.64875,0.831
0.08075,0.18225,-1.09275,-0.03675,0.64375,0.8142501
0.08875,0.1755,-1.09775,-0.0525,0.638,0.79975
0.08875,0.1755,-1.09775,-0.0615,0.6300001,0.803
0.10775,0.14675,-1.1085,-0.0595,0.625,0.853
0.10225,0.14225,-1.13125,-0.0525,0.63225,0.89175
0.0905,0.14,-1.1745,-0.007,0.63275,0.8925
0.09150001,0.15925,-1.184,-0.007,0.6515,0.8935
0.141,0.15475,-1.1365,-0.07375,0.66425,0.9075
0.157,0.13525,-1.102,-0.08775,0.64675,0.9145001
0.159,0.13,-1.075,-0.1145,0.6530001,0.887
0.16775,0.12475,-1.06625,-0.12575,0.60675,0.8245
0.18475,0.12725,-1.043,-0.1505,0.5945,0.7920001
0.24375,0.1495,-1.01425,-0.17325,0.59925,0.761
0.24375,0.1495,-1.01425,-0.1805,0.59425,0.7505
0.27775,0.131,-1.0325,-0.21775,0.58325,0.7655
0.33325,0.1155,-1.03,-0.2865,0.57475,0.7977501
0.33325,0.1155,-1.03,-0.2865,0.57475,0.7977501
0.39875,0.1175,-0.99375,-0.39625,0.56525,0.77975
0.4125,0.1195,-0.9995,-0.4285,0.55725,0.7625
0.41325,0.1125,-1.00175,-0.3815,0.55425,0.75225
0.42275,0.11575,-0.9625,-0.375,0.5705,0.781
0.47575,0.125,-0.94275,-0.44225,0.56675,0.71675
0.47575,0.125,-0.94275,-0.44225,0.56675,0.71675
0.52375,0.12075,-0.92825,-0.5205,0.5420001,0.6535
0.5395,0.09950001,-0.9120001,-0.54925,0.52525,0.5905001
0.5175,0.0885,-0.90075,-0.5415,0.5145,0.59175
0.55975,0.08575001,-0.8855,-0.5420001,0.50475,0.6267501
0.56025,0.08675,-0.8980001,-0.56675,0.501,0.6300001
0.62975,0.06525,-0.8847501,-0.51425,0.5325,0.605
0.4845,0.0855,-0.802,-0.6152501,0.5275,0.844
0.56775,0.2635,-0.9332501,-0.51975,0.30025,0.81725
0.53325,-0.05925,-0.9195001,-0.51675,0.45925,0.779
0.53175,-0.03275,-0.98325,-0.4745,0.44975,0.7870001
0.55,-0.053,-0.965,-0.462,0.45225,0.8610001
0.532,-0.047,-0.9712501,-0.452,0.47,0.86975
0.5215001,-0.0315,-0.98825,-0.44125,0.4875,0.8732501
0.50475,-0.02775,-1.006,-0.4245,0.49825,0.8715
0.4825,0.0165,-1.0485,-0.42,0.52525,0.84275
0.48125,0.01175,-1.04275,-0.4165,0.523,0.85175
0.4425,0.008,-1.0195,-0.38,0.53575,0.85575
0.30875,0.115,-1.02425,-0.413,0.614,0.818
0.46425,0.04775,-1.024,-0.32225,0.49825,0.8725001
0.46325,0.03675,-1.0125,-0.275,0.45675,0.8755
0.451,0.00125,-1.0065,-0.30475,0.4415,0.8710001
0.506,0.022,-1.0165,-0.251,0.37375,1.043
0.51425,0.00325,-0.992,-0.253,0.4215,0.946
0.4695,0.13375,-1.15125,-0.5765,0.287,0.7005
0.6,-0.03575,-0.8362501,-0.367,0.46925,1.056
0.5475,0.07575,-1.02325,-0.41,0.275,0.8355001
0.53475,0.01425,-1.0065,-0.4245,0.40125,0.9770001
0.6037501,-0.02625,-1.01275,-0.42225,0.44125,0.7505
0.50775,0.012,-0.94625,-0.32125,0.4185,0.7945001
0.495,0.03725,-0.943,-0.363,0.4215,0.7665001
0.532,0.03675,-0.9522501,-0.3845,0.40775,0.7775
0.53275,0.034,-0.91475,-0.35825,0.4325,0.83775
0.54375,0.02975,-0.9425001,-0.39,0.42325,0.79675
0.5625,0.016,-0.9457501,-0.42075,0.416,0.76875
0.57175,0.00525,-0.9350001,-0.44925,0.4035,0.777
0.597,-0.0225,-0.92125,-0.45175,0.40025,0.7920001
0.58825,-0.0405,-0.9210001,-0.39175,0.4105,0.89425
0.6020001,-0.09025001,-0.9120001,-0.39475,0.383,0.87875
0.60525,-0.1005,-0.90075,-0.44425,0.36975,0.8355001
0.6385,-0.10575,-0.89175,-0.47,0.3685,0.8380001
0.6365,-0.1155,-0.8785,-0.494,0.34625,0.8527501
0.6760001,-0.12275,-0.84675,-0.52275,0.3445,0.844
0.6760001,-0.12275,-0.84675,-0.48075,0.33775,0.89525
0.6760001,-0.12275,-0.84675,-0.438,0.348,0.88875
0.6905,-0.14325,-0.8387501,-0.215,0.20525,0.74525
0.6905,-0.14325,-0.8387501,-0.402,0.416,0.928
0.67875,-0.173,-0.8290001,-0.49475,0.45875,0.8107501
0.6447501,-0.29675,-0.7275,-0.3805,0.43225,0.8505
0.6015,-0.3145,-0.78,-0.371,0.4525,0.8602501
0.6192501,-0.303,-0.8980001,-0.28,0.5017501,0.8895
0.5925,-0.322,-0.906,-0.21625,0.53225,0.9612501
0.5825,-0.32975,-0.9267501,-0.1805,0.57175,0.9307501
0.58,-0.311,-0.91175,-0.176,0.58125,0.9325001
0.604,-0.30425,-0.8975,-0.3005,0.548,0.9162501
0.59975,-0.32725,-0.8795,-0.286,0.53325,0.9155
0.6455,-0.326,-0.89675,-0.2325,0.5425,0.93875
0.57875,-0.3195,-0.8282501,-0.223,0.50925,0.9317501
0.59775,-0.3145,-0.8280001,-0.2835,0.49975,0.835
0.6355,-0.31,-0.80725,-0.282,0.481,0.82775
0.6565,-0.307,-0.78975,-0.31825,0.46025,0.8415
0.6845,-0.321,-0.7925,-0.3175,0.44925,0.87525
0.6102501,-0.299,-0.81475,-0.30525,0.4875,0.8642501
0.6102501,-0.299,-0.81475,-0.22125,0.5095,0.863
0.6305,-0.32075,-0.84175,-0.19825,0.54025,0.84175
0.604,-0.3435,-0.826,-0.17575,0.54925,0.8635001
0.591,-0.3235,-0.8577501,-0.16125,0.5325,0.82875
0.57975,-0.35375,-0.8627501,-0.205,0.5897501,0.8937501
0.57525,-0.36525,-0.8625,-0.16475,0.594,0.8560001
0.5815001,-0.3535,-0.8742501,-0.118,0.62625,0.87775
0.56875,-0.358,-0.8615,-0.10275,0.62275,0.83275
0.583,-0.36475,-0.86475,-0.09900001,0.6185001,0.8347501
