2,DieDi,23_39_30_2021_02_19,50,300,13
0.1105,0.066,-1.06825,0.09900001,-0.00475,-1.00075
0.09975,0.00075,-1.017,0.09900001,-0.02725,-1.02875
0.1045,0.025,-1.041,0.09850001,0.0135,-0.9665
0.10225,0.05175,-1.05775,0.104,-0.0305,-1.00325
0.08975001,0.01025,-1.01875,0.09325001,-0.04675,-1.0515
0.11175,0.041,-1.053,0.0925,0.05,-0.94275
0.09625001,0.01325,-1.0285,0.09850001,-0.00175,-1.0015
0.08775,0.00625,-1.0195,0.09850001,-0.04725,-1.042
0.1095,0.0265,-1.0385,0.0895,0.024,-0.96925
0.10075,0.01575,-1.0175,0.08775,0.01575,-0.992
0.102,0.03675,-1.04525,0.1005,-0.0205,-1.01875
0.09125,-0.0005,-1.01925,0.09375001,-0.00125,-0.9942501
0.09975,0.0195,-1.02975,0.086,0.00575,-0.9950001
0.113,0.052,-1.05475,0.09825,-0.00825,-1.00525
0.09,0.00475,-1.0205,0.10125,0.00375,-1.00225
0.09725001,0.03325,-1.0445,0.09200001,0.0155,-0.97975
0.107,0.02875,-1.042,0.09225,-0.012,-1.0005
0.1025,0.00825,-1.019,0.09025001,-0.03325,-1.02475
0.101,0.038,-1.0505,0.10175,0.021,-0.974
0.09875,0.00775,-1.02525,0.09850001,0.002,-0.99625
0.133,0.046,-1.03575,0.0905,-0.01025,-1.00675
0.39025,0.11275,-1.05575,0.098,0.011,-0.9802501
0.19125,0.13825,-1.00225,0.10025,-0.00275,-1.00275
-0.017,0.02325,-1.05675,0.09425,-0.00475,-0.99875
0.01975,-0.08225001,-0.9587501,0.09275001,0,-0.9942501
0.012,0.0105,-1.13475,0.09625001,-0.01,-1.00875
0.08825,-0.062,-1.0145,0.029,0.09550001,-0.9112501
0.12475,0.08525001,-1.16625,0.06275,0.02975,-1.063
0.1115,0.03975,-1.1285,0.06075,0.001,-1.06275
0.06075,-0.168,-0.9185001,0.1285,0.04325,-0.9475001
-0.018,-0.31725,-0.8105,0.09975,-0.05875,-0.973
-0.027,-0.9867501,-0.61425,0.11225,-0.08675,-1.04475
0.154,-0.03375,-0.8922501,0.1325,-0.0215,-0.9990001
-0.30825,0.1185,-0.9865,0.1085,0.022,-1.0035
-0.19725,-0.10525,-1.12,0.08325,-0.02175,-0.9785001
-0.06225,0.01475,-1.204,0.06500001,-0.08750001,-0.987
0.39525,-0.16375,-1.54,0.40875,-0.40525,-0.8535001
0.44575,-0.35075,-1.26375,0.35875,-0.154,-0.86325
0.0705,-0.124,-0.7220001,0.1315,0.1945,-1.122
0.04975,-0.0505,-0.9382501,0.0225,0.181,-1.2255
0.14625,-0.14,-0.9202501,0.0675,-0.21075,-0.69225
0.292,-0.6755,-0.489,0.3,-0.2455,-1.01
0.319,-0.74325,-0.5475,0.40375,0.06075,-0.818
0.4895,-0.757,-0.7305,0.271,0.042,-0.9605001
0.3225,-0.35725,-0.677,-0.38875,0.17925,-1.0945
0.212,-0.397,-0.605,-0.295,0.281,-1.02825
0.16425,-0.058,-1.61575,0.0395,0.15775,-1.039
0.1875,-0.07650001,-0.8725001,-0.1385,-0.4005,-1.036
0.33875,-0.1715,-0.6677501,0.014,-0.048,-0.8215001
0.53975,-0.125,-0.85625,0.37575,-0.2035,-0.97725
0.68625,-0.18375,-0.947,0.4115,0.2095,-0.8835
0.73125,0.00175,-0.8560001,0.18325,0.255,-0.9425001
0.664,0.14975,-0.72175,-0.11675,0.05675,-1.04825
0.56325,0.249,-0.8075001,-0.2625,-0.1525,-1.07675
0.7025,0.20725,-0.6792501,-0.04475,-0.08825,-1.045
0.7025,0.20725,-0.6792501,-0.07475001,-0.1505,-1.09975
0.4335,0.7125,-0.80375,-0.2305,0.01525,-0.9252501
