0,QAQ,21_55_17_2021_02_18,50,200,13
0.44275,-1.10025,-0.566,1.24525,-0.5965,-1.139
0.4255,-0.98975,-0.45575,1.24525,-0.5965,-1.139
0.3825,-0.8835,-0.391,0.9815,-0.32225,-1.09525
0.549,-0.9242501,-0.23525,0.7772501,-0.22125,-0.9075
0.6472501,-1.01225,-0.2155,0.6102501,-0.176,-0.92
0.6435,-0.90675,-0.355,0.49025,-0.08425,-0.90825
0.53325,-1.02925,-0.54875,0.37725,-0.01025,-0.765
0.59725,-0.74825,-0.6907501,0.211,-0.023,-0.67175
0.6447501,-0.65675,-0.56675,0.15175,-0.09100001,-0.68225
0.69225,-0.4155,-0.5745,0.097,0.043,-0.54875
0.53325,-0.425,-0.6662501,0.13925,0.01625,-0.45975
0.57425,-0.474,-0.64,0.07,-0.03825,-0.5045
0.4205,-0.48375,-0.7335001,0.07,-0.03825,-0.5045
0.264,-0.5175,-0.878,-0.2345,0.0535,-0.4785
0.186,-0.4125,-0.9385,-0.341,0.0525,-0.466
0.18,-0.38875,-0.8602501,-0.20625,0.06125,-0.58325
0.1805,-0.2025,-0.61225,0.43825,0.26775,-1.846
0.153,-0.228,-0.41425,0.74725,0.29025,-2.279
0.13625,-0.3765,-0.3675,0.88875,0.31225,-2.4215
-0.04075,-0.43375,-0.38,0.82525,0.288,-2.36275
-0.07650001,-0.868,-0.68025,0.82625,0.188,-2.0345
0.13675,-1.105,-0.8717501,0.58025,0.16925,-1.677
1.04725,-2.334,-2.18075,0.302,0.1465,-0.9465001
1.505,-2.838,-2.48125,0.2515,0.11725,-0.7960001
1.61725,-2.663,-2.29725,0.273,0.08800001,-0.6825
0.56575,-1.609,-1.43425,0.23425,0.0555,-0.6760001
0.18025,-1.19725,-1.1735,0.2475,0.02625,-0.65125
-0.09200001,-0.6637501,-0.75625,0.286,0.01225,-0.72025
-0.259,-0.506,-0.5405,0.31675,-0.011,-0.76375
-0.28925,-0.4535,-0.368,0.32075,-0.02,-0.816
-0.25075,-0.3865,-0.30975,0.367,-0.08050001,-0.91875
-0.25575,-0.13125,-0.03125,0.37475,-0.11075,-0.9382501
-0.22675,-0.1695,-0.0935,0.31775,-0.0785,-0.85875
-0.227,-0.25825,-0.16275,0.28875,0.01225,-0.8337501
-0.251,-0.318,-0.21775,0.28875,0.01225,-0.8337501
-0.251,-0.318,-0.21775,0.28875,0.01225,-0.8337501
-0.251,-0.318,-0.21775,0.23175,0.00775,-0.74075
-0.3225,-0.27225,-0.29125,0.1335,-0.04625,-0.698
-0.1835,-0.14275,-0.295,-0.04675,0.02575,-0.6615
-0.21325,-0.2005,-0.34725,-0.05925,0.0445,-0.6475
-0.258,-0.5065,-0.90575,-0.07250001,0.04225,-0.743
-0.243,-0.537,-0.994,-0.1345,0.0635,-0.8565
-0.30225,-0.50675,-1.09975,-0.1365,0.12075,-0.9562501
-0.07175,-0.2785,-1.8025,-0.23125,0.20625,-0.9945
-0.0135,-0.17325,-1.71925,-0.20475,0.241,-1.11075
-0.0315,-0.07925,-1.66175,-0.13425,0.22475,-1.29175
-0.1485,0.08775,-1.59325,-0.00825,0.2925,-1.43775
