2,Normalll,20_14_39_2021_02_19,50,300,0
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.006,-1.01475,-0.01175,0.01425,1.0105,0.03575
0.009000001,-1.014,-0.0145,0.01125,1.01125,0.039
0.007,-1.01425,-0.0115,0.00875,1.007,0.033
0.00775,-1.014,-0.01075,0.0105,1.012,0.02825
0.0055,-1.01475,-0.01275,0.014,1.00975,0.03325
0.00975,-1.01475,-0.011,0.012,1.012,0.03525
0.00775,-1.0225,-0.02425,0.0105,1.01175,0.03225
0.0075,-1.00025,-0.0305,0.0115,1.0115,0.033
0.00625,-1.0145,-0.016,0.01225,1.0115,0.03475
0.00675,-1.0205,-0.00375,0.0105,1.0115,0.03375
0.00725,-1.011,-0.01475,0.01225,1.0115,0.0295
0.00725,-1.0135,-0.01175,0.01825,1.02325,0.03325
0.0075,-1.009,-0.024,0.0075,0.9905,0.037
0.008,-1.01075,-0.01225,0.011,1.01575,0.03725
-0.00525,-1.0345,0.09025001,0.01475,1.0215,0.033
0.6275001,-1.04225,0.956,0.0405,1.03775,0.031
-0.4685,-1.04975,-0.2035,0.061,1.00875,-0.2095
-0.4295,-1.0095,-0.40075,0.02575,0.946,-0.31925
-0.21925,-1.054,-0.26675,0.0625,1.11275,1.038
-0.08325,-1.01,0.03775,0.08825,1.07725,0.3895
-0.05425,-1.01925,0.11375,0.10875,0.95025,0.45125
0.12375,-1.00975,-0.255,-0.50725,0.688,-2.079
0.1445,-0.9950001,-0.17175,-0.70525,0.95675,-0.88025
0.0335,-1.00575,-0.08400001,-0.40475,0.78975,-0.814
-0.03575,-1.25325,0.052,0.048,1.04325,-1.061
-0.022,-1.19925,-0.0565,-0.00475,1.0415,-1.09325
-0.309,-1.0375,-0.17425,-0.072,0.98825,-1.08675
0.12375,-0.87775,-1.0825,-0.09025001,0.9907501,-0.96975
0.0085,-1.03,-0.4685,-0.09025001,0.9907501,-0.96975
0.0145,-1.00875,-0.39,-0.09025001,0.9907501,-0.96975
0.027,-0.6102501,-0.62475,-0.05175,0.64025,-0.8107501
0.2925,-0.24325,-0.8415,-0.1565,0.4445,-0.8107501
0.4795,0.108,-1.2495,-0.221,0.2985,-0.9052501
0.511,0.11825,-1.464,-0.221,0.2985,-0.9052501
0.216,0.00675,-1.4595,-0.237,0.21325,-0.8385
0.0815,0.01675,-1.2595,-0.237,0.21325,-0.8385
-0.09375001,0.09275001,-0.83925,-0.18125,0.182,-0.79
-0.36675,0.47675,-0.8010001,-0.2465,0.16875,-0.70275
-0.20425,0.42675,-1.05725,-0.2465,0.16875,-0.70275
-0.27475,0.586,-0.978,-0.2465,0.16875,-0.70275
-0.42275,0.9547501,-0.06,-0.2465,0.16875,-0.70275
-0.05825,1.1115,-0.549,-0.2465,0.16875,-0.70275
-0.05275,0.56225,-0.78225,-0.2,0.11425,-0.6455
0.14175,0.231,-0.5502501,0.13375,-0.35125,-0.53375
0.06325001,0.0255,-0.252,0.13375,-0.35125,-0.53375
-0.009500001,0.1395,-0.66225,0.2435,-0.43425,-0.5405
0.64425,0.42725,-0.50325,0.147,-0.2975,-0.6885
0.559,0.55725,-0.55775,0.147,-0.2975,-0.6885
0.417,0.47425,-0.70875,-0.068,-0.15725,-0.79675
0.5685,0.4605,-0.70275,-0.03725,-0.15625,-0.74575
0.4565,0.42675,-0.6945,-0.03725,-0.15625,-0.74575
0.503,0.517,-0.6587501,0.202,-0.485,-0.8840001
0.464,0.49325,-0.71425,0.297,-0.5645,-0.43675
0.42775,0.43,-0.65325,0.297,-0.5645,-0.43675
0.273,0.31475,-0.575,0.27,-0.4425,-0.74125
0.12025,0.4455,-0.64825,0.428,-0.5145,-0.8675001
0.0215,0.6265,-0.6935,0.428,-0.5145,-0.8675001
0.04325,0.80075,-0.80475,0.591,-0.64175,-0.8650001
-0.01575,0.88675,-0.7945001,0.48525,-0.8305001,-0.92
-0.0855,0.9145001,-0.9422501,0.48525,-0.8305001,-0.92
-0.19275,0.81025,-1.081,0.5855,-0.85075,-0.84
-0.29825,0.7697501,-1.06375,0.28675,-0.9625,-1.00625
-0.35775,0.68725,-1.08575,0.28675,-0.9625,-1.00625
-0.1625,0.6907501,-1.05775,-0.18175,-0.5965,-0.5732501
-0.14375,0.64625,-1.06025,0.16975,-0.5205,-0.0485
-0.27,0.475,-1.12325,-0.24875,-0.4625,-0.59825
-0.3255,0.49175,-1.19875,-0.2505,-0.8282501,-0.83175
-0.16025,0.5470001,-1.181,0.44775,-0.33675,-1.5075
-0.1025,0.56475,-1.19525,0.3995,-0.268,-1.0815
0.25875,0.59225,-0.91,0.476,-0.25625,-1.186
0.14475,0.59925,-0.98375,0.3985,-0.24925,-1.12175
0.1335,0.56875,-1.0685,0.3305,-0.257,-0.9762501
0.1845,0.7360001,-1.04275,0.19925,-0.296,-0.7772501
0.1165,0.66575,-1.0015,0.22,-0.27125,-0.7697501
0.08475,0.751,-1.00325,0.191,-0.26375,-0.687
0.1,0.6020001,-1.02025,0.086,-0.427,-0.6037501
0.07275,0.4605,-1.0515,0.051,-0.4935,-0.5845
0.214,0.3975,-1.1335,0.051,-0.4935,-0.5845
0.35625,0.52425,-1.0845,0.051,-0.4935,-0.5845
0.41325,0.5815001,-1.075,0.051,-0.4935,-0.5845
0.523,0.55975,-1.14325,0.05,-0.60825,-0.742
0.6522501,0.48075,-1.2925,0.168,-0.5685,-0.7672501
0.659,0.425,-1.20225,0.36675,-0.5325,-0.836
0.6735001,0.4305,-1.10275,0.34975,-0.494,-0.85
0.64325,0.4215,-1.02275,0.40775,-0.65075,-0.9827501
0.59475,0.3485,-0.8985,0.5075001,-0.558,-1.01375
0.5375,0.29425,-0.9210001,0.6115,-0.52275,-1.0395
0.72525,0.2495,-0.6907501,0.6850001,-0.26375,-0.8465
0.8545001,0.21,-0.4905,0.67325,-0.054,-0.65975
0.7780001,0.094,-0.4165,0.70775,-0.02525,-0.651
0.827,-0.23525,-0.22325,0.91325,-0.09425,-0.66675
0.8280001,-0.2875,-0.307,1.02025,-0.14725,-0.794
0.82375,-0.2485,-0.38325,1.02275,-0.10075,-0.821
0.8475,-0.194,-0.31075,0.9445,-0.114,-0.98075
0.7187501,-0.0435,-0.1465,1.0385,-0.17625,-0.988
0.5655,0.00575,-0.064,1.043,-0.26775,-0.97475
0.5075001,0.02025,0.01125,1.043,-0.26775,-0.97475
0.5605,-0.1045,-0.3115,0.9562501,-0.30975,-0.93525
0.6255,-0.18,-0.543,0.90725,-0.30575,-0.8915001
0.57775,-0.06675,-0.434,0.8372501,-0.2905,-0.8525
0.5285,-0.00075,-0.33775,0.8372501,-0.2905,-0.8525
0.524,0.019,-0.278,0.7762501,-0.22925,-0.7955
0.47375,0.00725,-0.353,0.69875,-0.17525,-0.72925
0.64325,-0.20275,-0.70525,0.69875,-0.17525,-0.72925
0.6760001,-0.291,-0.8425,0.6357501,-0.1255,-0.7195
0.7,-0.193,-0.84575,0.6357501,-0.1255,-0.7195
0.67425,-0.01725,-0.73075,0.5965,-0.106,-0.73475
0.6655,0.0465,-0.72325,0.5855,-0.153,-0.7605
0.781,-0.2145,-0.7915,0.612,-0.1785,-0.74325
