2,DieDi,23_22_36_2021_02_19,50,300,5
0.50025,0.287,-0.88775,0.09575,-0.03175,-1.0015
0.7590001,0.33,-0.7455,0.09575,-0.02725,-0.9982501
0.6702501,0.26725,-0.68775,0.09825,-0.02275,-0.9992501
0.677,0.242,-0.73575,0.09625001,-0.01775,-0.99475
0.72175,0.2725,-0.8280001,0.09675001,-0.03725,-1.003
0.719,0.28925,-0.7507501,0.093,-0.0375,-0.998
0.70275,0.26175,-0.7262501,0.09525,-0.03275,-0.9995
0.687,0.25275,-0.692,0.096,-0.02475,-0.9990001
0.64025,0.2045,-0.6985,0.096,-0.02475,-0.9990001
0.6295,0.32175,-0.71075,0.09375001,-0.0435,-1.00375
0.6350001,0.31925,-0.7325,0.09450001,-0.0335,-1.00175
0.68775,0.3215,-0.7625,0.09575,-0.02425,-0.9985
0.683,0.2625,-0.79,0.09625001,-0.03,-1.00125
0.61125,0.16975,-0.8240001,0.093,-0.0395,-1.00425
0.589,0.2295,-0.9587501,0.09725001,-0.03775,-1.0045
0.6005,0.10375,-0.9125,0.09725001,-0.02375,-0.99725
0.6725,0.0865,-0.87025,0.09575,-0.03475,-1.00275
0.65975,-0.2075,-0.7595,0.09325001,0.00675,-0.9695001
0.6575,-0.25475,-0.725,0.09850001,-0.01425,-0.9802501
0.7205001,-0.29725,-0.6817501,0.09775001,-0.1105,-1.055
0.7352501,-0.256,-0.64775,0.09275001,0.03625,-0.94025
0.7557501,-0.07825001,-0.8200001,0.09850001,-0.0505,-1.0165
0.7532501,-0.0645,-0.7445,0.0975,-0.09900001,-1.04875
0.70775,-0.08325,-0.674,0.09575,-0.045,-1.0075
0.809,-0.09725001,-0.688,0.09500001,-0.026,-0.9917501
0.8415,-0.11725,-0.765,0.09625001,-0.044,-1.01275
0.703,-0.2305,-0.6300001,0.09725001,-0.01875,-0.9852501
0.60525,-0.25875,-0.647,0.09525,-0.03125,-0.9932501
0.6935,-0.265,-0.71575,0.09675001,-0.048,-1.01625
0.766,-0.2145,-0.71,0.03425,0.29075,-0.95925
0.80725,-0.2215,-0.61175,-0.26675,-0.3625,-1.3475
0.80375,-0.23325,-0.5247501,0.502,0.109,-0.8282501
0.73875,-0.26925,-0.52525,-0.8117501,0.31325,-1.46275
0.6982501,-0.23125,-0.65775,-0.28325,0.07475001,-1.85175
0.7795,-0.07675,-0.726,-0.01675,0.09100001,-1.982
0.96175,-0.03175,-0.93225,0.89275,0.4295,-0.082
0.93275,0.06225,-1.08725,0.49275,0.20175,-0.5045
0.9645001,0.04325,-1.07975,-0.00725,0.4715,-0.674
0.9842501,-0.018,-0.9902501,0.0785,0.54625,-0.59975
0.73175,-0.13625,-0.7,0.05475,0.0325,-0.6357501
0.655,-0.066,-0.6792501,0.13775,0.3345,-1.0195
0.69725,0.02075,-0.6522501,0.33975,0.30375,-0.5515
0.7445,-0.098,-0.6325001,0.51675,0.4395,-1.2055
0.6702501,-0.145,-0.5495,0.44325,0.25475,-1.42675
0.6267501,-0.1515,-0.5725001,0.34825,-0.06425,-0.77575
0.551,-0.32625,-0.5125,0.41475,-0.15475,-0.876
0.488,-0.411,-0.412,0.3215,0.048,-0.94875
0.427,-0.5065,-0.281,0.4055,0.05025,-0.87975
0.39725,-0.5535,-0.2785,0.59575,-0.28775,-0.41225
0.3385,-0.59775,-0.424,0.65325,-0.30775,-0.4015
0.442,-0.48025,-0.4685,0.8095,-0.3225,-0.6025
0.66725,-0.50025,-0.512,0.464,-0.626,-0.7220001
0.6447501,-0.376,-0.7315,0.46475,-0.32275,-0.514
0.6175,-0.244,-0.91475,0.51125,-0.08125,-0.36775
1.24,0.1605,-1.722,0.576,-0.242,-0.087
1.1375,0.298,-1.75075,0.55,-0.315,-0.1485
0.7722501,0.51125,-0.99275,1.0845,-0.13625,-1.11375
0.6825,0.42425,-0.11975,1.16625,0.165,-1.83775
0.97075,0.32225,-0.207,0.216,0.3565,-1.5525
0.92475,-0.06525,-0.41075,0.49475,0.4625,-0.7785
0.86775,-0.28525,-0.7115,1.116,0.0345,-0.8355001
0.88125,-0.3975,-0.65325,0.44225,0.30725,-0.6990001
0.8290001,-0.364,-0.53025,0.5470001,0.27075,-0.6345
0.8347501,-0.29675,-0.47725,0.63025,0.15325,-0.663
0.8485,-0.2415,-0.436,0.812,0.1165,-0.6915
0.8295,-0.21325,-0.461,0.86475,0.02175,-0.728
0.9120001,-0.1575,-0.56525,0.7355,-0.01925,-0.7187501
0.881,-0.163,-0.5535,0.69475,0.0145,-0.6892501
0.85975,-0.159,-0.521,0.7945001,0.06225,-0.63075
0.9012501,-0.1435,-0.5017501,0.7325,0.2075,-0.61125
0.882,-0.1425,-0.49525,0.7585,0.04275,-0.68975
0.8750001,-0.16175,-0.50925,0.6865,0.01675,-0.7095
0.9052501,-0.2145,-0.49975,0.66475,0.1575,-0.68225
0.8875,-0.23125,-0.4985,0.674,0.169,-0.8570001
0.8885,-0.24025,-0.494,0.5975,0.14075,-0.8520001
0.88875,-0.26525,-0.484,0.6085,-0.02,-0.8435
0.8895,-0.2695,-0.4965,0.62325,-0.083,-0.9260001
0.8795,-0.286,-0.496,0.5605,-0.066,-0.9877501
0.8695,-0.27975,-0.48325,0.76425,0.119,-0.34725
0.87025,-0.19775,-0.4795,0.8412501,0.1795,-0.11875
0.897,-0.15925,-0.492,0.8815001,0.284,-0.08175001
0.9127501,-0.08400001,-0.51675,0.74325,0.37,-0.51975
0.89325,-0.0505,-0.49275,0.7715001,0.2975,-0.701
0.89425,-0.02175,-0.47675,0.831,0.18125,-0.9480001
0.8955001,-0.0325,-0.46575,0.604,0.22125,-0.725
0.8965001,-0.07375,-0.463,0.62725,0.375,-0.6160001
0.93525,-0.0885,-0.50225,0.7135,0.3795,-0.4625
0.932,-0.225,-0.51175,0.69125,0.42425,-0.66675
0.88425,-0.247,-0.5185,0.71075,0.431,-0.6727501
0.87775,-0.18475,-0.51525,0.60675,0.516,-0.66
0.89175,-0.168,-0.52125,0.72975,0.48,-0.58925
0.8645,-0.18275,-0.53375,0.6925001,0.36225,-0.6077501
0.9025,-0.13425,-0.5505,0.60225,0.42275,-0.78425
0.8890001,-0.1195,-0.531,0.6662501,0.25925,-0.5835
0.8847501,-0.09850001,-0.5105,0.8105,0.2505,-0.6125
0.8865001,-0.0375,-0.4865,0.70125,0.285,-0.6350001
0.892,-0.02875,-0.48675,0.67625,0.2905,-0.62025
0.8935,-0.014,-0.50325,0.6620001,0.29875,-0.654
0.93725,-0.10175,-0.55175,0.67225,0.40775,-0.6415001
0.8925,-0.114,-0.54225,0.67225,0.40775,-0.6415001
0.901,-0.15425,-0.531,0.67225,0.40775,-0.6415001
0.886,-0.17675,-0.512,0.6350001,0.501,-0.5995
0.8795,-0.18525,-0.53925,0.606,0.54,-0.603
0.8615,-0.215,-0.5345,0.638,0.523,-0.5465
0.85325,-0.2295,-0.5305001,0.6535,0.5157501,-0.62525
0.8692501,-0.21725,-0.5355,0.641,0.46275,-0.657
0.93725,-0.212,-0.5385,0.6655,0.42225,-0.618
0.87025,-0.2055,-0.529,0.65025,0.367,-0.637
0.8635001,-0.15125,-0.5435,0.646,0.36025,-0.68375
0.8885,-0.08625001,-0.577,0.68025,0.33625,-0.6555001
0.877,-0.01525,-0.5705,0.63475,0.3755,-0.69975
0.8675001,0.036,-0.549,0.6185001,0.399,-0.67875
0.8565,0.10875,-0.54275,0.6185001,0.399,-0.67875
0.8625,0.1155,-0.57175,0.63625,0.411,-0.661
0.8785,0.08075,-0.6020001,0.6285,0.4615,-0.65325
0.85975,0.03075,-0.583,0.60925,0.48775,-0.6745
0.87025,-0.03075,-0.5527501,0.60325,0.5255,-0.6485
0.88275,-0.0355,-0.5635,0.623,0.49525,-0.65825
0.8840001,-0.045,-0.56025,0.623,0.49525,-0.65825
0.88425,-0.02725,-0.545,0.6105,0.43075,-0.64625
0.8825001,-0.0235,-0.554,0.6285,0.39,-0.725
0.8615,-0.02025,-0.56675,0.627,0.391,-0.7212501
0.8735,-0.01475,-0.6015,0.631,0.396,-0.6530001
0.8750001,-0.02625,-0.61425,0.6325001,0.379,-0.663
0.8710001,-0.0415,-0.6210001,0.6435,0.34825,-0.6865
0.8505,-0.07250001,-0.6012501,0.637,0.36375,-0.666
0.86725,-0.04425,-0.55775,0.6382501,0.37875,-0.65575
0.8660001,-0.048,-0.5585001,0.63475,0.39275,-0.654
0.8715,-0.054,-0.544,0.622,0.41675,-0.6775
0.87275,-0.0535,-0.5470001,0.6215,0.41075,-0.69875
0.86775,-0.05575,-0.552,0.61775,0.418,-0.6752501
0.8645,-0.04425,-0.55675,0.61775,0.418,-0.6752501
0.86825,-0.0205,-0.55,0.62925,0.39125,-0.66475
0.8742501,-0.0075,-0.55875,0.634,0.372,-0.703
0.8997501,-0.02025,-0.59,0.6300001,0.398,-0.6842501
0.87975,-0.0365,-0.6070001,0.62825,0.417,-0.66475
0.84175,-0.0565,-0.6077501,0.62125,0.4185,-0.663
0.8455001,-0.12175,-0.5945,0.62775,0.413,-0.68725
0.84575,-0.136,-0.5897501,0.636,0.4105,-0.67675
0.8585001,-0.1355,-0.58275,0.636,0.4105,-0.67675
0.8605,-0.1145,-0.56625,0.63875,0.37625,-0.683
0.8625,-0.09850001,-0.5515,0.63875,0.37625,-0.683
0.8660001,-0.07650001,-0.5515,0.63875,0.37625,-0.683
0.8652501,-0.05775,-0.5635,0.633,0.431,-0.64275
0.8675001,-0.0255,-0.583,0.6325001,0.417,-0.6562501
0.86575,-0.01025,-0.586,0.6285,0.43025,-0.654
0.8617501,-0.0035,-0.5735,0.6390001,0.4205,-0.65325
0.86725,-0.01625,-0.5675001,0.63925,0.38225,-0.67825
0.8610001,-0.037,-0.5795,0.64375,0.3845,-0.67625
0.8592501,-0.071,-0.59475,0.6440001,0.38725,-0.6615
0.8732501,-0.1565,-0.594,0.6435,0.38575,-0.6825
0.8675001,-0.169,-0.5785,0.6325001,0.42,-0.6620001
0.8537501,-0.1665,-0.5695,0.62475,0.4245,-0.66275
0.85075,-0.1415,-0.56575,0.6255,0.3965,-0.68125
0.84975,-0.11875,-0.56575,0.6295,0.37375,-0.7035
0.854,-0.11225,-0.5732501,0.6407501,0.35275,-0.72175
0.8552501,-0.103,-0.583,0.6382501,0.3805,-0.67575
0.86,-0.09850001,-0.5782501,0.6425,0.395,-0.65025
0.8615,-0.1015,-0.56525,0.6495,0.38675,-0.679
0.85875,-0.10775,-0.566,0.64575,0.4,-0.669
0.8642501,-0.117,-0.56975,0.6382501,0.4075,-0.66175
0.87025,-0.125,-0.585,0.637,0.403,-0.66825
0.8625,-0.135,-0.575,0.64625,0.38325,-0.6810001
0.86325,-0.1345,-0.56225,0.6395,0.3485,-0.68775
0.8652501,-0.125,-0.56125,0.6415001,0.3115,-0.71425
0.8667501,-0.08825,-0.576,0.636,0.38475,-0.665
0.87275,-0.0785,-0.58425,0.63775,0.36575,-0.67675
0.8695,-0.086,-0.57725,0.6545,0.37775,-0.69525
0.864,-0.1035,-0.56325,0.64875,0.3765,-0.69975
0.86225,-0.11425,-0.54325,0.65975,0.31775,-0.75225
0.8615,-0.1185,-0.52525,0.65475,0.3525,-0.7270001
0.8800001,-0.1155,-0.549,0.6345,0.4245,-0.67875
0.87875,-0.12625,-0.55775,0.63125,0.4245,-0.67425
0.887,-0.12075,-0.58275,0.63125,0.4245,-0.67425
0.887,-0.12075,-0.58275,0.65675,0.40925,-0.7007501
0.87975,-0.119,-0.582,0.6720001,0.378,-0.6875001
0.86775,-0.06950001,-0.55125,0.69625,0.28725,-0.6620001
0.8875,-0.066,-0.54475,0.70825,0.24325,-0.6405
0.8825001,-0.07425001,-0.53725,0.714,0.21825,-0.6155
0.8800001,-0.08025,-0.524,0.714,0.21825,-0.6155
0.88525,-0.063,-0.524,0.714,0.21825,-0.6155
0.89125,-0.0475,-0.53275,0.7235,0.238,-0.6215
0.89925,-0.03975,-0.54,0.7352501,0.1785,-0.6792501
0.8807501,-0.03225,-0.534,0.7320001,0.1835,-0.64625
0.878,-0.03425,-0.53125,0.72275,0.19975,-0.62625
0.8715,-0.0445,-0.54225,0.739,0.16875,-0.6535
0.8745,-0.06225,-0.56025,0.74775,0.1665,-0.66975
0.8865001,-0.08525001,-0.597,0.7245001,0.18475,-0.64375
0.8715,-0.1185,-0.57125,0.726,0.18925,-0.67375
0.8655,-0.108,-0.543,0.729,0.19675,-0.6900001
0.876,-0.085,-0.53575,0.72475,0.18675,-0.715
0.8947501,-0.06375001,-0.537,0.7122501,0.19375,-0.7025
0.8980001,-0.05375,-0.5365,0.70875,0.18875,-0.68125
0.89825,-0.04775,-0.54675,0.7205001,0.1645,-0.6905
0.895,-0.04475,-0.5485,0.7360001,0.15225,-0.691
0.8815001,-0.041,-0.52525,0.737,0.1735,-0.6595
0.87225,-0.04675,-0.5145,0.73075,0.1785,-0.6407501
0.8765001,-0.03725,-0.51725,0.735,0.1625,-0.64625
0.8895,-0.05225,-0.5525,0.7435001,0.16475,-0.6375
0.8930001,-0.07325,-0.56525,0.7417501,0.17025,-0.6472501
0.89125,-0.0815,-0.5615,0.74275,0.1765,-0.65825
0.8805,-0.074,-0.5305001,0.73675,0.173,-0.67325
0.88375,-0.06425,-0.526,0.72825,0.17175,-0.67875
0.89575,-0.06375001,-0.534,0.7245001,0.16125,-0.689
0.89575,-0.06375001,-0.534,0.7245001,0.16125,-0.689
0.89575,-0.0635,-0.5385,0.7277501,0.15975,-0.6985
0.8840001,-0.0545,-0.53575,0.7287501,0.17075,-0.6865
0.881,-0.058,-0.5412501,0.72725,0.17725,-0.6677501
0.86875,-0.062,-0.54025,0.728,0.17275,-0.66025
0.8897501,-0.066,-0.5412501,0.7360001,0.171,-0.664
0.8847501,-0.05925,-0.53475,0.7415,0.16575,-0.6670001
0.881,-0.06375001,-0.55825,0.742,0.16875,-0.6605
0.87525,-0.09725001,-0.5505,0.7245001,0.2125,-0.6382501
0.88525,-0.096,-0.55175,0.72175,0.197,-0.65075
0.8945,-0.09625001,-0.54,0.7455,0.183,-0.665
