2,Alice,21_31_22_2021_02_18,50,300,12
0.6497501,1.152,-0.14625,0.40275,1.36625,-0.1885
-0.12875,1.01875,0.7075,-0.04325,0.9170001,0.3065
-0.12875,1.01875,0.7075,-0.244,0.7040001,0.34625
-0.02025,0.8375,0.57925,-0.47875,0.791,0.38675
0.00975,0.6865,0.43075,-0.45475,1.10075,0.37075
-0.24675,0.5017501,0.4115,-0.15325,1.2485,0.25925
-0.269,0.69725,0.51475,-0.242,1.0005,0.34375
-0.30475,0.82375,0.647,-0.334,0.67075,0.28525
0.006,0.90325,0.3475,-0.04,0.65325,-0.053
-0.16175,1.0065,0.31875,0.29525,1.12875,0.13
-0.2465,1.148,0.49825,-0.1725,0.82375,-0.204
-0.17575,1.08425,0.4545,-0.13,0.97825,0.0285
-0.10875,0.9815,0.3855,-0.2195,0.901,0.035
-0.1095,0.8655,0.31075,-0.13175,1.08275,-0.00475
-0.12025,0.84,0.03625,-0.111,1.11625,-0.017
-0.021,0.41775,0.183,-0.111,1.11625,-0.017
-0.1475,1.14,0.1045,-0.417,0.9710001,0.23625
0.1055,0.9737501,0.07525001,-0.25975,0.9215,0.108
0.057,0.8930001,0.2365,-0.1485,0.7460001,-0.07775
0.0605,1.17275,-0.0105,-0.18975,0.72975,-0.116
-0.094,1.048,0.204,-0.1635,0.8675001,-0.08425
-0.126,0.9260001,0.23,-0.192,0.80225,-0.15625
-0.2075,0.8980001,0.2255,-0.2785,0.8157501,-0.189
-0.11975,0.79675,0.15425,-0.33275,0.9795001,-0.2225
-0.049,0.9367501,-0.004,-0.15175,1.11175,-0.19
-0.074,0.9185001,0.01125,-0.00075,0.7155001,-0.484
-0.06125,0.85475,-0.21125,-0.08925001,0.98825,-0.34925
-0.06175,0.941,-0.06475,-0.11925,1.07875,-0.6982501
-0.03175,1.0975,-0.02825,-0.169,1.01725,-0.75025
-0.2525,0.808,-0.21975,-0.1185,0.7325,-0.6127501
-0.1195,0.77125,-0.2895,-0.08425,0.6655,-0.5335
-0.04,0.93975,-0.344,-0.1515,0.5315,-0.29575
-0.00625,1.22025,-0.4655,0.01775,0.5,-0.285
-0.021,1.30075,-0.435,-0.18775,0.201,-0.031
-0.08675,1.25875,-0.4245,-0.356,-0.07,0.23875
-0.1555,1.098,-0.49425,-0.06125,-0.7647501,0.47325
-0.135,0.9310001,-0.7237501,0.8340001,-2.6455,-3.18925
-0.229,0.9095001,-0.52825,0.32725,-1.536,-1.04425
-0.104,1.08925,-0.68075,0.5705,-1.2115,0.7212501
-0.226,0.7835,-0.7465,0.03075,-0.5477501,-0.43775
-0.19275,0.7187501,-0.323,-0.07375,-0.56625,-0.5387501
-0.2815,0.84275,-0.0055,-0.04975,-0.46525,-0.555
-0.321,0.6455,-0.32575,0.08175001,-0.4575,-0.72225
-0.24,0.76375,-0.30725,0.0905,-0.42625,-0.688
-0.22425,0.89125,-0.35775,-0.009500001,-0.4195,-0.6037501
-0.11525,0.9597501,-0.466,-0.1795,-0.327,-0.582
-0.1145,0.909,-0.458,-0.18,-0.31375,-0.55825
-0.09275001,0.74275,-0.37975,-0.378,-0.1955,-0.58375
-0.0785,0.69925,-0.361,-0.378,-0.1955,-0.58375
-0.09875,0.66275,-0.35375,-0.41875,-0.256,-0.5915
-0.12075,0.57075,-0.27675,-0.47825,-0.317,-0.76175
-0.14125,0.56,-0.288,-0.6332501,-0.5275,-1.395
-0.16475,0.5420001,-0.25525,-0.6035,-0.64675,-1.70875
-0.11975,0.47975,-0.27075,-0.0125,-0.909,-1.67925
-0.1095,0.5685,-0.28725,-0.0125,-0.909,-1.67925
-0.11925,0.7645,-0.5765,0.019,-0.7555,-1.52125
