2,Good,19_50_24_2021_02_19,50,300,13
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.0905,0.01375,-1.0305,0.10625,-0.05325,-0.9960001
0.08925001,0.02,-1.0355,0.1035,-0.0495,-0.99725
0.08875,0.0215,-1.03775,0.09975,-0.05325,-0.99875
0.09100001,0.01825,-1.0355,0.09975,-0.05325,-0.99875
0.08925001,0.0235,-1.0385,0.1035,-0.05025,-0.99625
0.09200001,0.017,-1.0365,0.105,-0.04825,-0.9982501
0.09150001,0.0175,-1.03575,0.105,-0.04825,-0.9982501
0.09125,0.01975,-1.0365,0.1005,-0.0525,-0.998
0.09425,0.0185,-1.0355,0.103,-0.0495,-0.9965001
0.09150001,0.021,-1.037,0.103,-0.0495,-0.9965001
0.08925001,0.0205,-1.038,0.102,-0.053,-0.9990001
0.09075,0.02,-1.03525,0.10025,-0.049,-0.9975001
0.08925001,0.02225,-1.0385,0.10025,-0.049,-0.9975001
0.09150001,0.01725,-1.03525,0.1015,-0.05325,-0.998
0.08825,0.0195,-1.03625,0.10275,-0.05175,-0.9992501
0.09150001,0.01825,-1.0345,0.1035,-0.0495,-0.9967501
0.09200001,0.0205,-1.03675,0.1035,-0.0495,-0.9967501
0.09375001,0.02125,-1.03875,0.1045,-0.0515,-0.9960001
0.0925,0.01725,-1.03625,0.1045,-0.0515,-0.9960001
0.08875,0.02025,-1.0375,0.1005,-0.0505,-0.998
0.0905,0.019,-1.035,0.10525,-0.05025,-0.9965001
0.0925,0.0205,-1.036,0.10525,-0.05025,-0.9965001
0.09100001,0.019,-1.03575,0.103,-0.05,-0.99625
0.09100001,0.017,-1.0345,0.102,-0.0505,-0.997
0.0905,0.022,-1.03825,0.10375,-0.0515,-0.9967501
0.0905,0.022,-1.03825,0.10375,-0.0515,-0.9967501
0.09375001,0.017,-1.039,0.09975,-0.05,-0.99775
0.0895,0.01375,-1.03525,0.09975,-0.05,-0.99775
0.09125,0.02925,-1.04275,0.1025,-0.05075,-0.99625
0.096,0.0165,-1.0355,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09175,0.01075,-1.032,0.10725,-0.05025,-0.9960001
0.09775001,0.03075,-1.0445,0.10175,-0.0505,-0.99875
0.09425,0.01025,-1.03225,0.10375,-0.0505,-0.99625
0.08525001,0.008,-1.03125,0.10175,-0.05475,-1.00075
0.09100001,0.027,-1.041,0.10425,-0.0505,-0.9995
0.098,0.01375,-1.03075,0.105,-0.05475,-0.9975001
0.08775,0.02375,-1.04275,0.1115,-0.0545,-0.9942501
0.08325,0.0115,-1.0305,0.1115,-0.0545,-0.9942501
0.0895,0.01975,-1.037,0.1115,-0.0545,-0.9942501
0.096,0.02625,-1.042,0.1115,-0.0545,-0.9942501
0.0885,0.02,-1.03625,0.104,-0.0585,-0.99775
0.0855,0.02775,-1.04425,0.09275001,-0.0495,-0.998
0.08975001,0.0145,-1.0335,0.09275001,-0.0495,-0.998
0.09375001,0.02625,-1.0415,0.09425,-0.04875,-0.99975
0.08925001,0.021,-1.03725,0.104,-0.0485,-1.00075
0.087,0.01525,-1.035,0.104,-0.0485,-1.00075
0.09475,0.01925,-1.03725,0.11125,-0.0515,-0.9950001
0.09500001,0.014,-1.034,0.10775,-0.051,-0.99975
0.089,0.0245,-1.0395,0.10025,-0.0505,-1.00125
0.09150001,0.01525,-1.034,0.10025,-0.0505,-1.00125
0.09500001,0.02,-1.0375,0.098,-0.05,-0.99525
0.0885,0.022,-1.036,0.109,-0.05175,-0.9985
0.08925001,0.02125,-1.03775,0.109,-0.05175,-0.9985
0.08925001,0.01725,-1.03675,0.097,-0.0465,-0.99975
0.0925,0.0135,-1.03625,0.097,-0.0465,-0.99975
0.089,0.02325,-1.03825,0.106,-0.0545,-0.9982501
0.08675,0.02,-1.03725,0.10125,-0.04925,-0.99725
0.0895,0.0195,-1.0365,0.102,-0.05075,-0.997
0.094,0.0175,-1.03525,0.102,-0.05075,-0.997
0.08925001,0.0195,-1.03625,0.102,-0.05075,-0.997
0.0895,0.02175,-1.03575,0.102,-0.05075,-0.997
0.09075,0.01975,-1.0375,0.102,-0.05075,-0.997
0.09275001,0.01375,-1.036,0.10675,-0.05175,-1.00475
0.0885,0.0235,-1.038,0.09925,-0.05025,-0.99775
0.08875,0.02375,-1.03725,0.09925,-0.05025,-0.99775
0.09100001,0.01975,-1.0385,0.1055,-0.0525,-1.00025
0.09100001,0.01675,-1.035,0.104,-0.046,-0.99725
0.09200001,0.0205,-1.0395,0.104,-0.046,-0.99725
0.093,0.01875,-1.03775,0.102,-0.054,-0.99875
0.09,0.02125,-1.038,0.102,-0.054,-0.99875
0.0905,0.01875,-1.034,0.10475,-0.05425,-1.00025
0.08975001,0.0185,-1.03625,0.09900001,-0.0455,-0.99525
0.09150001,0.0185,-1.03675,0.10325,-0.0515,-0.997
0.0895,0.02225,-1.03675,0.10325,-0.0515,-0.997
0.09100001,0.02825,-1.04075,0.12725,-0.22325,-1.03175
0.09150001,0.0175,-1.03525,0.1925,0.16425,-1.24525
0.09025001,0.02175,-1.0405,0.1925,0.16425,-1.24525
0.09125,0.017,-1.03575,-0.0075,0.18525,-0.5145
0.09125,0.0185,-1.03475,-0.07025,-0.2765,-1.08125
0.09125,0.02,-1.0365,-0.07025,-0.2765,-1.08125
0.09175,0.01675,-1.03625,0.15075,0.6335,-1.2825
0.087,0.024,-1.0415,0.15075,0.6335,-1.2825
0.10375,0.01425,-1.034,0.16525,-0.007,-0.9012501
0.0975,0.00875,-1.0305,0.1135,-0.10225,-1.13125
0.0795,0.04675,-1.05275,-0.1195,-0.17325,-1.23975
0.1025,0.01375,-1.03325,-0.1195,-0.17325,-1.23975
0.1025,0.01375,-1.03325,0.2055,0.301,-1.23725
-0.247,0.8732501,-0.7735,0.2055,0.301,-1.23725
0.6095001,-0.988,-1.0275,0.32375,0.1355,-1.482
0.21925,-0.0135,-0.98825,0.27575,-0.035,-1.34875
-0.0265,0.17,-1.284,0.27575,-0.035,-1.34875
-0.03925,0.02125,-1.31475,-0.14,0.154,-1.27825
0.35175,0.27025,-1.1515,0.23375,0.57925,-0.37375
0.362,0.3595,-1.3435,0.23375,0.57925,-0.37375
-0.12425,-0.15125,-1.30475,0.23375,0.57925,-0.37375
-0.1845,-0.80125,-1.0165,0.23375,0.57925,-0.37375
-0.125,-0.83825,-0.726,0.444,-0.276,-0.7115
0.119,0.20975,-1.46875,0.0855,-0.204,-0.21775
0.23875,0.75525,-1.73975,0.82675,-0.19625,-0.69425
-0.036,0.50375,-1.8915,0.53225,-0.1925,-0.68575
-0.02425,-1.21,0.5897501,0.429,-0.2635,-0.32925
0.7235,-0.9267501,0.3205,0.429,-0.2635,-0.32925
0.474,-0.28925,-1.04725,0.74975,-0.22125,-0.502
0.37975,-0.5185,-1.70725,0.5195,-0.60475,-0.67175
0.44975,-0.7685,-1.559,0.5195,-0.60475,-0.67175
0.209,-0.90175,-1.24075,0.16975,-0.67,-0.239
0.1045,-0.39675,-0.20375,0.6055,-0.36,-0.95175
0.2435,-0.11125,0.07725,0.6055,-0.36,-0.95175
0.5420001,-0.279,0.78825,0.62875,-0.38575,-1.16025
0.88675,0.11325,0.8247501,0.7395,-0.3175,-1.68975
0.767,0.022,0.45075,0.7395,-0.3175,-1.68975
0.47375,-0.07375,0.147,0.7395,-0.3175,-1.68975
0.362,0.1125,-0.3215,0.7395,-0.3175,-1.68975
0.431,0.236,-0.22075,0.94025,-0.2195,-1.8155
0.47275,0.19575,-0.10525,0.8340001,-0.2155,-1.73125
0.49975,0.05275,-0.37775,0.6990001,-0.48925,-0.55975
0.554,0.00525,-0.31625,0.67675,-0.493,-0.54075
0.67,0.016,-0.1715,0.61725,-0.47925,-0.132
0.7255,0.15525,-0.11175,-0.02625,-0.1745,-0.34975
0.7415,0.1675,-0.23225,0.368,-0.08675,-0.25975
0.75725,0.22175,-0.39125,0.4835,-0.031,-0.438
0.5642501,-0.10175,-0.62875,0.52575,-0.07725,-0.62625
0.61425,-0.32625,-0.28075,0.52575,-0.07725,-0.62625
0.53425,-0.3305,-0.0375,0.46225,-0.14625,-0.72425
1.218,-0.3,-0.25675,0.3845,-0.34875,-0.7557501
1.477,-0.1275,-0.8085001,0.3845,-0.34875,-0.7557501
1.265,-0.74225,-0.9665,0.358,-0.551,-0.73725
1.465,-1.09675,-0.9637501,0.38,-0.6705,-0.81975
1.5095,-0.8652501,-0.64125,0.38,-0.6705,-0.81975
2.49,-0.44325,-0.6845,0.38,-0.6705,-0.81975
1.222,0.03975,-1.73975,0.38,-0.6705,-0.81975
0.7155001,-0.1335,-1.5665,0.3,-0.7187501,-0.69775
0.7155001,-0.1335,-1.5665,0.2915,-0.65,-0.4105
0.75625,-0.297,1.2355,0.2695,-0.7352501,-0.459
0.7875,0.37025,-0.19,0.00025,-0.98375,-0.9905
0.4745,-0.062,-0.37725,0.07825001,-0.691,-0.9827501
0.5815001,-0.29475,-0.6497501,0.429,-1.07925,-0.86625
0.9555001,-0.34825,-0.7147501,0.4535,-0.70225,-1.235
0.9325001,-0.234,-1.00475,0.539,-0.2565,-0.8742501
