2,vdi30,15_47_12_2021_02_19,50,300,1
0.9727501,0.03025,-0.09325001,0.98625,-0.0375,-0.10325
1.0745,-0.01925,-0.0485,1.0045,-0.054,-0.13225
1.0745,-0.01925,-0.0485,1.01525,-0.0545,-0.2065
1.052,0.02325,-0.029,1.00275,-0.0145,-0.21175
1.08025,0.08725,-0.02525,1.01925,-0.04275,-0.14725
1.069,0.185,-0.04425,1.04075,-0.09875,-0.17525
1.06775,0.1455,-0.03,1.0505,-0.16175,-0.164
1.0185,0.16225,-0.122,0.9992501,-0.117,-0.1155
1.01525,0.167,-0.163,0.98375,-0.0965,-0.06675
1.011,0.085,-0.13,0.9715,-0.16025,-0.1405
1.0385,0.06675,-0.1015,0.9345,-0.10125,-0.102
1.0455,0.10025,-0.1775,0.9535,-0.166,-0.07325
1.00875,0.09075,-0.202,0.9960001,-0.2225,-0.0645
1.018,0.0685,-0.18825,0.99775,-0.173,-0.14175
0.9915,0.03575,-0.1395,0.9810001,-0.1845,-0.144
1.02025,0.036,-0.05075,1.00375,-0.2185,-0.14575
1.046,0.05625,-0.06775001,1.04475,-0.13875,-0.162
1.111,0.09775001,-0.134,1.0735,-0.13575,-0.145
1.00525,0.067,-0.11975,1.0775,-0.12975,-0.1445
1.05125,0.09950001,-0.146,1.07,-0.1715,-0.15625
1.00825,0.103,-0.208,1.06475,-0.193,-0.15425
1.1535,0.09125,-0.18525,1.03025,-0.22475,-0.13875
1.0305,0.06025,-0.20825,0.9752501,-0.1805,-0.14875
0.9877501,0.1035,-0.27875,0.993,-0.1155,-0.15675
0.9785001,0.026,-0.276,0.998,-0.04275,-0.113
1.0335,-0.07725,-0.08400001,0.992,-0.104,-0.125
1.068,0.00525,-0.162,0.98475,-0.08800001,-0.17525
1.0605,0.128,-0.24825,0.9770001,-0.117,-0.16075
1.11125,0.1305,-0.31375,0.8965001,-0.031,-0.113
1.077,0.03375,-0.18725,0.9605001,-0.173,-0.169
1.07625,0.0335,-0.13825,0.99775,-0.21925,-0.186
1.07625,0.0335,-0.13825,0.99775,-0.21925,-0.186
1.05,0.038,-0.12925,1.0275,-0.1825,-0.128
1.02,-0.0025,-0.133,1.0345,-0.22775,-0.14625
1.00925,0.01975,-0.103,0.957,-0.162,-0.108
1.0365,0.0515,-0.086,0.9395,-0.1505,-0.152
1.01475,-0.0005,-0.06575,0.9342501,-0.22975,-0.1845
1.05225,0.04675,-0.14125,0.901,-0.2035,-0.12025
1.03925,0.12275,-0.2135,1.04125,-0.41325,-0.28875
1.01525,0.127,-0.27875,0.9755,-0.27,-0.1525
1.0195,0.11325,-0.336,1.009,-0.302,-0.19325
1.073,0.144,-0.366,1.018,-0.3115,-0.179
1.016,0.09900001,-0.37525,1.0295,-0.30825,-0.15575
0.9865,0.0555,-0.35375,1.0035,-0.29725,-0.16325
0.9915,0.054,-0.3455,0.989,-0.29725,-0.17475
0.9895,0.0175,-0.2355,0.9770001,-0.279,-0.13625
1.0105,0.0465,-0.20975,0.961,-0.1905,-0.1375
1.05175,0.006,-0.1805,0.9712501,-0.1905,-0.17275
1.0345,-0.03875,-0.1685,0.9662501,-0.18275,-0.22475
1.07725,-0.0365,-0.1575,0.9497501,-0.16075,-0.17175
1.07175,-0.00325,-0.177,0.92225,-0.10325,-0.15625
1.07925,0.03925,-0.18925,0.9215,-0.052,-0.14375
1.06775,0.05125,-0.20975,0.9400001,-0.14425,-0.18925
1.06625,0.066,-0.192,1.00525,-0.197,-0.229
1.05425,0.06975,-0.2095,0.9687501,-0.2925,-0.235
1.06475,0.072,-0.20275,0.9835001,-0.3695,-0.21975
1.02075,0.0245,-0.2665,1,-0.3685,-0.2155
1.02875,0.039,-0.3335,0.9935001,-0.33075,-0.2045
1.02575,0.0255,-0.2695,0.9842501,-0.2885,-0.14275
1.0055,0.0435,-0.2765,1.0005,-0.28225,-0.12325
1.002,0.056,-0.28075,1.0195,-0.307,-0.13875
0.89575,0.001,-0.3245,1.0165,-0.33375,-0.1785
0.997,-0.00675,-0.155,1.015,-0.2685,-0.16175
1.059,-0.0305,-0.10475,1.02275,-0.216,-0.1495
1.057,-0.05775,-0.101,0.9815,-0.16175,-0.15175
1.06325,-0.0505,-0.12375,0.973,-0.1335,-0.14325
1.064,-0.042,-0.13725,0.8962501,-0.15,-0.179
1.0745,-0.019,-0.17625,0.98575,-0.18125,-0.1555
1.0385,-0.03675,-0.25075,0.826,-0.09525,-0.37275
0.96975,-0.094,-0.33425,0.94925,-0.05575,-0.0405
0.9905,-0.0375,-0.363,1.1705,-0.12025,0.1885
0.9795001,-0.05925,-0.288,0.9935001,-0.17675,-0.109
0.9575,-0.10175,-0.3265,0.993,-0.22075,-0.08175001
0.9575,-0.15925,-0.32075,0.9605001,-0.1055,-0.07025
0.95025,-0.11525,-0.32775,0.9547501,-0.07650001,-0.043
0.96425,-0.04925,-0.38275,0.9515001,-0.11675,-0.19625
0.9992501,-0.07250001,-0.29325,0.9695001,-0.24725,-0.333
1.0205,-0.08050001,-0.22625,0.9522501,-0.2215,-0.3035
1.0605,-0.06125,-0.216,0.96425,-0.1695,-0.295
1.0745,-0.044,-0.22825,0.9825001,-0.1135,-0.23975
1.0645,-0.11725,-0.18025,1.01425,-0.131,-0.2635
1.04125,-0.1315,-0.16975,1.00275,-0.1515,-0.2455
1.043,-0.09375001,-0.1885,1.01425,-0.16225,-0.21625
1.06025,-0.10575,-0.16775,0.966,-0.154,-0.20025
1.06275,-0.096,-0.1355,0.97075,-0.1875,-0.206
1.04675,-0.082,-0.1495,0.97075,-0.15275,-0.1575
1.0065,-0.11125,-0.2695,1.02,-0.21275,-0.17225
1.0105,-0.13975,-0.24975,1.0235,-0.215,-0.19675
1.0595,-0.15475,-0.1195,0.851,-0.13825,-0.15225
1.066,-0.1315,-0.1205,1.14125,-0.30925,-0.17725
1.05575,-0.10575,-0.1295,1.01625,-0.25475,-0.19475
1.0395,-0.09500001,-0.119,1.027,-0.24925,-0.174
1.0525,-0.1,-0.0505,1.04225,-0.2635,-0.20025
1.0755,-0.0885,-0.02725,1.04775,-0.26475,-0.2115
1.0615,-0.10125,-0.06625,0.99875,-0.19575,-0.176
1.0595,-0.119,-0.082,0.9950001,-0.165,-0.16775
1.07425,-0.1215,-0.07875001,0.98475,-0.12875,-0.15875
1.08125,-0.13025,-0.0635,0.9665,-0.07600001,-0.17025
1.05925,-0.125,-0.04,0.9355,-0.04275,-0.18425
1.03725,-0.09575,-0.08375,0.9515001,-0.05675,-0.1745
0.98825,-0.07,-0.188,0.98325,-0.1335,-0.19775
0.9852501,-0.102,-0.199,0.9752501,-0.11,-0.19525
0.99375,-0.16325,-0.1785,0.9765,-0.09150001,-0.19
1.04325,-0.15275,-0.18575,1.00725,-0.1075,-0.20725
1.04225,-0.08325,-0.14725,0.9885001,-0.0865,-0.2055
1.03725,-0.046,-0.128,0.98575,-0.07475001,-0.19725
1.042,0.00075,-0.022,1.0085,-0.04225,-0.11
1.04575,0.02925,0.008,0.9990001,-0.0545,-0.122
1.03475,0.0455,0.031,1.00375,-0.04625,-0.1265
1.02575,0.05025,0.0555,1.03925,-0.0785,-0.09175
1.05725,0.063,0.093,1.04475,-0.042,-0.07175
1.05775,0.06125,0.082,1.05925,0,-0.04875
1.04775,0.02275,0.058,1.0585,0.01575,-0.11375
1.04525,0.0195,0.05125,1.044,0.02,-0.03875
1.0455,0.04025,0.024,1.01825,0.016,-0.1055
1.0395,0.06375001,0.005,1.042,-0.007,-0.1215
1.04275,0.0565,0.00175,1.069,-0.09900001,-0.1595
1.04925,0.0395,0.0025,1.069,-0.09900001,-0.1595
1.0615,0.02425,-0.0005,1.01725,-0.03425,-0.197
1.07225,-0.004,-0.00275,1.01775,0.02875,-0.159
1.06875,-0.014,-0.031,1.01775,0.02875,-0.159
1.0495,-0.0275,-0.05575,1.05925,-0.01875,-0.12575
1.04425,-0.017,-0.05225,1.08775,-0.04025,-0.06125
1.027,-0.0105,-0.05375,1.08775,-0.04025,-0.06125
1.039,0.007,-0.049,1.045,-0.04025,-0.12525
1.0425,0.0195,-0.04325,0.99625,-0.0125,-0.082
1.04475,0.01225,-0.05475,0.99625,-0.0125,-0.082
1.04875,-0.02975,-0.033,1.01075,-0.06925,-0.11925
1.0415,-0.0415,-0.03275,1.0095,-0.093,-0.13
1.04275,-0.03925,-0.02225,1.00725,-0.1005,-0.10675
1.027,-0.023,-0.025,1.00725,-0.1005,-0.10675
1.0185,-0.028,-0.03075,1.00175,-0.0935,-0.115
1.037,-0.03475,-0.0255,0.9925001,-0.086,-0.1115
1.09475,0.00575,-0.1065,1.01825,-0.06675,-0.08375
1.04575,0.0175,-0.159,1.01825,-0.06675,-0.08375
1.04575,0.0175,-0.159,1.01825,-0.06675,-0.08375
1.03775,-0.078,-0.089,1.013,-0.0885,-0.15725
1.043,-0.049,-0.08725,1.02125,-0.023,-0.14325
1.05375,0.002,-0.121,1.01025,-0.04075,-0.205
1.057,0.02275,-0.10125,1.026,-0.035,-0.136
1.049,0.0145,-0.0865,0.99525,-0.01975,-0.09150001
1.0535,0.002,-0.08325,1.0605,-0.01775,-0.024
1.053,-0.005,-0.07300001,1.0155,-0.13375,-0.23325
1.0785,-0.02475,-0.0525,1.0155,-0.13375,-0.23325
1.07075,-0.02175,-0.07275,1.0155,-0.13375,-0.23325
1.03675,0.00075,-0.09525,0.96175,-0.03275,-0.06375001
1.03575,0.00875,-0.0895,0.9525,-0.19275,-0.193
1.03375,0.006,-0.08350001,0.9985,-0.17975,-0.1895
1.03925,0.00125,-0.096,0.9942501,-0.12175,-0.1895
1.0935,-0.005,-0.124,1.00825,-0.04925,-0.16725
1.0775,-0.03825,-0.11275,1.00825,-0.04925,-0.16725
1.06825,-0.05825,-0.0925,1.06125,-0.07725,-0.2015
1.038,-0.05125,-0.133,1.06125,-0.07725,-0.2015
1.02375,-0.051,-0.14925,1.0545,-0.08225001,-0.20325
1.019,-0.04875,-0.1565,1.0045,-0.05825,-0.16675
1.0285,-0.045,-0.14375,0.98375,-0.06825,-0.09775001
1.04175,-0.037,-0.13925,1.00525,-0.0855,-0.12625
1.05475,-0.0595,-0.1355,1.00525,-0.0855,-0.12625
1.063,-0.05525,-0.124,0.9967501,-0.0755,-0.12725
1.056,-0.04625,-0.12175,1.09625,-0.17525,-0.14325
1.04375,-0.02225,-0.1285,1.0165,-0.1495,-0.119
0.98875,-0.035,-0.11675,1.0165,-0.1495,-0.119
1.0565,0.02175,-0.10175,1.0165,-0.1495,-0.119
1.0375,0.03275,-0.09075,1.015,-0.154,-0.12625
1.05275,0.029,-0.12025,0.9955,-0.134,-0.15075
1.05725,0.00875,-0.09850001,0.9955,-0.134,-0.15075
1.044,-0.027,-0.111,0.9960001,-0.08725,-0.188
1.04325,-0.016,-0.10725,0.9960001,-0.08725,-0.188
1.02775,-0.00425,-0.1225,0.997,-0.08575001,-0.2075
1.0455,-0.001,-0.089,1.00375,-0.08450001,-0.21575
1.06825,0.00075,-0.07225,0.9877501,-0.0645,-0.18825
1.078,0.01225,-0.0535,0.9877501,-0.0645,-0.18825
1.04125,-0.001,-0.09125,0.9767501,-0.08375,-0.20825
1.06725,-0.007,-0.0865,0.9855,-0.0965,-0.2005
1.07875,-0.01875,-0.07575,1.01975,-0.141,-0.16925
1.05825,-0.0185,-0.05675,0.9917501,-0.14325,-0.17425
1.03625,0.018,-0.09075,0.9917501,-0.14325,-0.17425
1.019,0.03975,-0.08875,0.9917501,-0.14325,-0.17425
1.02125,0.04975,-0.06975,0.9917501,-0.14325,-0.17425
1.03,0.03825,-0.07225,0.9917501,-0.14325,-0.17425
1.06475,0.04675,-0.081,0.9917501,-0.14325,-0.17425
1.07325,0.01325,-0.07425001,0.978,-0.18125,-0.2105
1.063,-0.0005,-0.07675,0.978,-0.18125,-0.2105
1.05525,-0.00375,-0.08075,0.978,-0.18125,-0.2105
1.04125,0.00775,-0.083,0.9945,-0.157,-0.2435
1.0385,0.00425,-0.08275001,1.00875,-0.06375001,-0.2435
1.0415,0.0005,-0.06925,1.00875,-0.07225,-0.258
1.046,0.00975,-0.0705,1.00875,-0.07225,-0.258
1.06525,0.00475,-0.08725,1.0155,-0.08075,-0.247
1.06175,-0.01125,-0.0855,1.0155,-0.08075,-0.247
1.02875,-0.03725,-0.08275001,0.98625,-0.1195,-0.16175
1.05025,-0.0215,-0.08825,1.02225,-0.08175001,-0.241
1.0325,0.009000001,-0.06675,1.01325,-0.1105,-0.26475
1.0355,0.04075,-0.111,1.00325,-0.09525,-0.24225
1.02325,0.052,-0.1005,1.00625,-0.122,-0.199
1.06075,0.05925,-0.08325,1.00625,-0.122,-0.199
1.0775,0.06225,-0.09,0.966,-0.06725001,-0.0715
1.06475,0.0365,-0.06900001,0.9687501,-0.16875,-0.13475
1.054,0.027,-0.0685,0.9285001,-0.19,-0.146
1.042,0.05775,-0.0665,1.02875,-0.063,-0.188
1.03975,0.06,-0.05825,1.04825,-0.0625,-0.19125
1.048,0.0535,-0.039,1.03825,-0.13075,-0.20225
1.0735,0.029,-0.01475,1.0125,-0.16425,-0.1945
1.09,0.02325,-0.01025,1.0255,-0.1805,-0.1885
1.084,0.02675,-0.04475,1.0255,-0.1805,-0.1885
1.07625,0.02325,-0.06,0.98625,-0.1635,-0.14825
1.045,0.01475,-0.06425,0.9580001,-0.11525,-0.12175
1.03475,0.0185,-0.06900001,0.9540001,-0.1635,-0.11775
1.029,0.02475,-0.07525001,0.9702501,-0.22175,-0.15175
1.028,0.054,-0.09275001,0.938,-0.212,-0.1755
1.032,0.052,-0.109,0.9712501,-0.2215,-0.2155
1.0475,0.0375,-0.117,0.9805,-0.16425,-0.19025
1.048,0.00275,-0.1025,1.0075,-0.0625,-0.16875
1.0465,-0.0045,-0.08875,1.01425,-0.09525,-0.1725
1.03525,0.005,-0.07875001,1.03375,-0.1425,-0.174
1.02925,0.01,-0.08125,1.0355,-0.15775,-0.1695
1.03725,0.027,-0.07600001,1.01975,-0.16,-0.159
1.0395,0.03075,-0.07250001,0.9985,-0.16925,-0.16125
1.07,0.01675,-0.04075,0.983,-0.16275,-0.156
1.06675,0.014,-0.051,0.98375,-0.1535,-0.1585
1.05475,0.0045,-0.06900001,0.98475,-0.1115,-0.13
1.04525,0.0115,-0.06900001,0.9892501,-0.11425,-0.12675
1.03975,0.015,-0.0735,0.997,-0.14325,-0.145
1.037,0.0215,-0.07700001,0.9995,-0.1535,-0.17675
1.0265,0.04625,-0.09775001,1.0015,-0.1335,-0.05575
1.0365,0.0465,-0.094,1.0355,-0.1515,-0.2085
1.07325,0.05825,-0.06675,1.0235,-0.054,-0.08000001
1.087,0.04575,-0.04825,1.034,-0.037,-0.07225
1.10575,0.043,-0.05075,1.0605,-0.05075,-0.103
1.133,0.05325,-0.04075,1.09675,-0.08225001,-0.1415
1.17425,0.072,-0.00725,1.1265,-0.09950001,-0.104
1.249,0.11,-0.0025,1.13075,-0.016,-0.05525
1.355,0.12625,0.00225,1.13075,-0.016,-0.05525
1.408,0.0665,0.037,1.13075,-0.016,-0.05525
1.33275,-0.0595,0.02675,1.149,0.00575,-0.0925
1.24525,-0.0865,0.021,1.1855,-0.02275,-0.2125
1.26025,-0.2535,0.0925,1.1855,-0.02275,-0.2125
1.18025,-0.22675,0.096,1.16725,-0.03075,-0.11375
1.017,-0.05425,-0.145,1.1095,0.103,0.06575
0.91475,0.0285,-0.212,1.10925,0.0515,-0.056
0.859,0.06975,-0.195,1.03875,-0.00075,-0.0885
0.8525,0.04825,-0.1605,0.9405,-0.037,-0.06975
0.72325,-0.057,-0.23175,0.9217501,-0.024,-0.0755
0.71775,-0.01,-0.24775,0.91725,-0.025,-0.11275
0.7555,0.03675,-0.3015,0.89525,-0.03225,-0.1115
0.8445001,0.07225,-0.23025,0.9242501,-0.058,-0.09925
0.9087501,0.05675,-0.17625,0.9225,-0.08000001,-0.07275
0.929,0.01,-0.14,0.9275001,-0.09625001,-0.113
0.9472501,-0.03125,-0.16525,0.91975,-0.113,-0.118
0.946,-0.012,-0.1705,0.8985,-0.129,-0.11675
0.9530001,0.05125,-0.2145,0.8660001,-0.13625,-0.0855
0.9647501,0.05675,-0.206,0.8652501,-0.15125,-0.07075001
0.96325,0.04075,-0.1905,0.895,-0.14925,-0.042
0.9825001,0.03625,-0.19325,0.87625,-0.13525,-0.0045
1.01675,0.03075,-0.202,0.8955001,-0.14975,-0.02225
1.01625,0.03675,-0.2135,0.8972501,-0.142,0.0015
1.031,0.04,-0.204,0.91475,-0.1325,-0.00575
1.05425,0.03025,-0.18825,0.9062501,-0.13825,-0.018
1.08125,0.02325,-0.16625,0.9392501,-0.122,0.018
1.10625,-0.001,-0.12475,0.93875,-0.125,0
1.10275,-0.02275,-0.1085,0.9392501,-0.122,-0.01775
1.0705,-0.02725,-0.1165,0.93975,-0.097,-0.026
1.0445,-0.026,-0.133,0.95275,-0.05875,-0.04975
1.0495,-0.0175,-0.133,0.978,-0.03875,-0.06275
1.043,-0.0015,-0.12675,1.01025,-0.0325,-0.07725
1.001,-0.00925,-0.1235,1.06125,-0.0015,-0.10725
0.9860001,0.003,-0.117,1.1115,0.02075,-0.0585
0.9950001,0.00975,-0.10925,1.142,0.049,-0.02425
1.01125,0.0285,-0.10425,1.166,0.03425,-0.0705
1.041,0.06775001,-0.1035,1.38625,0.04175,-0.253
1.03675,0.04625,-0.10025,1.57825,0.13275,-0.11425
1.02175,0.0175,-0.07625,2.17125,0.37325,0.24625
1.02425,0.03725,-0.1065,2.377,0.33975,-0.09875
1.034,0.06025,-0.1565,2.4725,0.61825,-0.34925
1.0425,0.0565,-0.1695,2.69725,1.97175,-0.29575
1.02625,0.0045,-0.138,2.75075,2.7535,-0.53975
1.044,-0.017,-0.09200001,2.47375,3.40375,-1.18825
1.06125,-0.06275,-0.114,1.5555,3.4775,-1.132
1.0655,-0.0885,-0.117,1.1385,3.2595,-0.6530001
1.07975,-0.104,-0.0925,0.6620001,3.03275,-0.35375
1.08475,-0.1145,-0.05875,-0.4335,2.40875,0.214
1.06125,-0.05325,-0.06375001,-0.4335,2.40875,0.214
1.027,-0.0085,-0.09325001,-1.528,1.842,0.51975
1.0035,0.08825,-0.14775,-2.14625,1.96325,0.52075
1.005,0.11075,-0.1685,-2.14625,1.96325,0.52075
1.00875,0.1175,-0.172,-2.14625,1.96325,0.52075
1.0665,0.10775,-0.13825,-2.06775,0.813,-0.66425
1.12,0.09550001,-0.1385,-2.19475,-0.49825,-0.12275
1.1515,0.0715,-0.14925,-2.24175,-1.0485,0.40425
1.1555,0.0325,-0.1385,-1.6675,-1.47925,0.70525
1.194,-0.14525,-0.0335,-1.39725,-1.47175,0.6127501
1.2305,-0.22725,-0.0105,-1.27775,-1.311,0.4805
1.193,-0.13475,-0.08625001,-1.125,-1.09275,0.46325
1.229,-0.06550001,-0.1165,-1.1475,-1.26825,0.54875
1.277,-0.04625,-0.11725,-1.1475,-1.26825,0.54875
1.3275,-0.066,-0.107,-1.2925,-1.768,0.6665
1.39175,-0.03275,-0.16625,-1.104,-1.352,0.42425
1.46525,-0.00375,-0.22275,-1.03775,-1.07675,0.302
1.60325,0.021,-0.3025,-0.9332501,-0.7945001,-0.0415
1.706,0.03825,-0.28275,-0.8635001,-0.64775,-0.15725
1.78775,0.122,-0.3735,-0.777,-0.449,-0.245
2.187,0.25025,-0.37375,-0.66425,-0.15425,-0.30575
2.4675,0.19175,-0.18525,-0.1545,0.24975,-0.374
2.6855,0.0265,0.0235,0.31475,0.51475,-0.24725
