2,Tony,01_37_16_2021_02_07,50,300,9
-1.386,0.431,-0.23375,0.6125,-0.05275,-0.9507501
-1.3785,0.1055,-0.272,0.6125,-0.05275,-0.9507501
-0.86725,-0.19,-0.281,0.6125,-0.05275,-0.9507501
-0.86725,-0.19,-0.281,0.60675,-0.08225001,-0.9022501
-0.4595,0.23,-0.1845,0.4075,-0.1455,-0.56325
-0.9300001,0.5485,-0.2725,0.72325,-0.489,-0.767
-0.86375,1.0045,-0.12475,1.2405,-0.81925,-1.612
0.1465,1.47525,0.19825,1.60925,-0.0375,0.55175
-0.1415,0.677,1.01725,0.369,-0.426,-0.189
-0.2745,0.8060001,0.31375,-0.8975,-0.2125,-0.253
-0.9015,1.59625,-0.09200001,-1.1905,-0.3825,-0.16475
-1.02425,1.5565,0.11125,-1.2015,-0.4525,0.225
-0.4515,1.26375,-0.8010001,-0.83825,-0.9455,-0.25825
-0.37525,1.05875,-0.4665,-0.8945,-0.9015,-1.014
-0.406,0.9465001,-0.1285,-1.08325,-0.47075,-0.45025
-0.466,0.81625,0.09950001,-0.98125,-0.486,-0.36875
-0.531,0.72825,-0.0565,-0.9645001,-0.50675,-0.3875
-0.65425,0.622,-0.207,-0.9892501,-0.5075001,-0.532
-0.497,0.7047501,-0.6455,-0.72075,-0.45975,-0.52975
-0.5757501,0.7165,-0.58325,-0.75975,-0.48775,-0.45475
-0.57725,0.7640001,-0.42025,-0.68875,-0.5455,-0.544
-0.7787501,0.9950001,-0.69225,-0.5025,-0.2945,-0.442
-0.52625,1.29025,-0.33075,-0.56225,-0.27425,-0.513
-0.47275,1.30825,-0.46225,-0.58775,-0.2915,-0.53325
-0.24475,0.8425,-0.42975,-0.48075,-0.3555,-0.41375
-0.31825,0.78175,-0.381,-0.6350001,-0.396,-0.7625
-0.331,0.78575,-0.364,-0.5035,-0.33925,-0.95275
-0.19475,0.49075,-0.458,-0.6982501,-0.6615,-0.74725
-0.07425001,0.4735,-0.504,-0.50025,-0.48725,-0.8005
-0.02475,0.25775,-0.17675,-0.5075001,-0.3365,-0.8975
-0.39325,0.1355,-0.16325,-0.4635,-0.39225,-1.09925
-0.606,0.362,-0.74725,-0.3925,-0.4915,-1.11975
-0.6475,0.553,-0.7237501,-0.291,-0.38125,-1.07025
-0.79575,0.9037501,-0.1665,-0.18925,-0.30275,-1.123
-0.6055,0.74825,-1.029,-0.179,-0.2635,-1.1565
-0.319,0.89325,-0.60875,0.0395,-0.34675,-1.07775
-0.369,0.661,-0.978,0.059,-0.37575,-0.937
-0.40125,0.65325,-1.103,-0.064,-0.42275,-0.8387501
-0.3875,0.631,-1.17225,-0.12925,-0.52425,-0.7945001
-0.333,0.34125,-0.9975001,-0.21025,-0.631,-0.82025
-0.22675,0.19075,-0.69275,-0.12325,-0.7255,-0.8200001
-0.2055,0.22125,-0.762,-0.14575,-0.6365,-0.77075
-0.429,0.59325,-0.88675,-0.21925,-0.60075,-0.74525
-0.43175,0.61775,-0.9095001,-0.3585,-0.631,-0.67175
-0.2825,0.6065,-0.9455,-0.342,-0.68075,-0.60025
-0.204,0.4365,-0.78725,-0.30125,-0.641,-0.376
-0.25825,0.41775,-0.78175,-0.2615,-0.7467501,-0.2675
-0.23325,0.62825,-0.99225,-0.40425,-0.86975,-0.20925
-0.14475,0.95575,-1.401,-0.509,-0.9,-0.0205
-0.1685,0.6620001,-1.453,-0.34325,-1.04075,0.28125
-0.2705,0.38225,-1.4585,-0.56375,-0.98975,0.08825
0.1645,-0.07975,-0.7695,-0.52325,-0.9425001,0.16525
0.1645,-0.07975,-0.7695,-0.52325,-0.9425001,0.16525
0.32875,-0.33575,-0.49625,-0.52325,-0.9425001,0.16525
0.278,-0.74375,-0.26025,-0.4355,-1.09,0.3305
0.4135,-0.87275,-0.193,-0.40725,-1.06725,0.411
0.53275,-0.7977501,-0.03175,-0.4295,-1.25375,0.2905
0.41775,-0.51675,0.38475,-0.33475,-1.29175,0.218
0.334,-0.5195,0.40675,-0.37475,-1.229,0.244
0.3035,-0.45925,0.33175,-0.4035,-1.266,0.21675
0.10725,-0.43425,0.47525,-0.1005,-0.69925,-0.1135
0.10725,-0.43425,0.47525,-0.1855,-0.47,-0.342
0.01125,-0.68075,0.18275,-0.52425,-0.46525,-0.447
0.27225,-0.5642501,0.54675,-0.7162501,-0.65925,0.0145
0.27225,-0.5642501,0.54675,-0.6375,-0.6752501,0.12225
0.324,-0.6805,0.50775,-0.34225,-0.7237501,0.38725
0.4595,-0.90175,0.313,-0.31225,-0.59075,0.24575
0.708,-0.86875,0.3645,-0.18475,-0.3845,0.57025
0.83275,-0.848,0.31575,-0.08750001,-0.34975,0.35375
0.984,-1.0275,-0.03425,-0.11025,-1.06775,0.403
0.94525,-1.094,-0.1135,-0.11025,-1.06775,0.403
0.8835,-0.9382501,-0.26325,0.02525,-1.05775,0.498
0.76775,-0.6580001,-0.4715,0.154,-0.9850001,0.50025
0.80225,-0.491,-0.581,0.154,-0.9850001,0.50025
0.735,-0.4485,-0.585,0.171,-0.9152501,0.1615
0.67075,-0.5795,-0.56275,0.00675,-1.16375,-0.06550001
0.6415001,-0.4935,-0.58525,0.00675,-1.16375,-0.06550001
0.65375,-0.4085,-0.5605,0.03425,-1.0635,-0.312
0.418,-0.592,-0.91725,-0.00525,-1.136,-0.49525
0.422,-0.71825,-1.142,-0.00525,-1.136,-0.49525
0.5455,-0.938,-0.91675,-0.04025,-1.80175,-0.956
0.5045,-0.83275,-0.53225,-0.1165,-1.25875,-0.61725
0.4475,-0.67875,-0.6055,-0.1165,-1.25875,-0.61725
0.3765,-0.58275,-0.64225,0.23425,-0.78325,-0.629
0.47675,-0.9902501,-1.47225,0.1685,-0.501,-0.60575
0.5395,-0.465,-1.24275,0.1685,-0.501,-0.60575
0.45825,-0.67325,-0.7355,-0.22625,-0.775,-1.33275
0.428,-0.3305,-0.61475,-0.1835,-0.52,-1.45825
0.264,-0.293,-0.69425,-0.1835,-0.52,-1.45825
0.14175,-0.45875,-0.5925,0.25925,-0.2345,-1.1815
0.12975,-0.6905,-0.7277501,0.25925,-0.2345,-1.1815
0.5215001,-1.193,-0.51125,0.24875,-0.07325,-1.0815
0.48475,-1.0845,-0.37975,0.0225,-0.111,-0.84225
0.27775,-1.061,-0.22275,0.0225,-0.111,-0.84225
0.3755,-0.8465,-0.137,0.0225,-0.111,-0.84225
0.3025,-0.8807501,-0.048,0.0225,-0.111,-0.84225
0.28975,-0.9625,-0.24925,-0.01575,-0.118,-0.52375
0.2835,-0.9827501,-0.00125,0.4045,-0.0145,-0.37775
0.1185,-0.9285001,-0.29525,-0.06675,-0.4905,-0.91725
0.051,-0.93625,-0.21925,0.8445001,-0.70125,-1.74925
-0.0155,-0.8545001,-0.19875,0.01675,-0.90725,-0.6915
-0.008,-0.93875,-0.132,-0.07700001,-0.6225,-0.779
0,-1.05425,-0.2345,0.00425,-0.00525,-1.495
0.12625,-1.0865,-0.2135,0.17525,-0.06550001,-1.6455
0.1185,-1.17075,-0.56025,0.244,-0.1685,-1.6685
0.13925,-1.108,-0.49825,0.244,-0.1685,-1.6685
0.14025,-1.01025,-0.39325,0.11275,-0.32375,-1.565
0.16125,-0.8595001,-0.35725,0.11275,-0.32375,-1.565
0.31325,-0.6665,-0.28225,-0.06375001,-0.46075,-1.4385
0.303,-0.69675,-0.25125,-0.09275001,-0.572,-1.30025
